AIRLINE_ID,YEAR,QUARTER,PASSENGERS,FREIGHT,MAIL_x,DISTANCE,UNIQUE_CARRIER_NAME,SALA_GALLONS,SDOM_GALLONS,SDOMT_GALLONS,SATL_GALLONS,SPAC_GALLONS,SLAT_GALLONS,SINT_GALLONS,TS_GALLONS,NALA_GALLONS,NDOM_GALLONS,NDOMT_GALLONS,NATL_GALLONS,NPAC_GALLONS,NLAT_GALLONS,MAC_GALLONS,NINT_GALLONS,TN_GALLONS,TDOMT_GALLONS,TINT_GALLONS,TOTAL_GALLONS,EMPFULL,EMPPART,EMPTOTAL,EMPFTE,MAINTENANCE,TOTAL_AIR_HOURS,AIR_DAYS_ASSIGN,AIR_FUELS_ISSUED,OTHER,OP_PROFIT_LOSS
19385,1990,1,8535,633860,1820680,36752,Reeve Aleutian Airways Inc.,0,932870,932870,0,0,0,0,932870,0,422652,422652,0,0,0,0,0,0,1355522,0,1355522,742,195,937,841,2309.8,,,,65.44,110.17
19385,1990,2,12374,751280,2030220,43086,Reeve Aleutian Airways Inc.,0,1255249,1255249,0,0,0,0,1255249,0,430984,430984,0,0,0,0,0,0,1686233,0,1686233,760,205,965,863,2175.9,,,,61.77,1022.48
19385,1990,3,11609,795720,1968900,34398,Reeve Aleutian Airways Inc.,0,1335008,1335008,0,0,0,0,1335008,0,450946,450946,0,0,0,0,0,0,1785954,0,1785954,765,218,983,875,1803.01,,,,112.32,1104.51
19385,1990,4,7328,691140,1804960,34352,Reeve Aleutian Airways Inc.,0,1151488,1151488,0,0,0,0,1151488,0,445827,445827,0,0,0,0,0,0,1597315,0,1597315,781,156,937,860,2340.38,,,,304.49,-1222.53
19385,1991,1,6641,707700,1384060,36104,Reeve Aleutian Airways Inc.,0,989380,989380,0,0,0,0,989380,0,402986,402986,0,0,0,0,0,0,1392366,0,1392366,775,177,952,864,2183.46,,,,63.53,-1476.14
19385,1991,2,12294,786980,1698160,37202,Reeve Aleutian Airways Inc.,0,1330465,1330465,0,0,0,0,1330465,0,423183,423183,0,0,0,0,0,0,1753648,0,1753648,799,174,973,886,1845.94,,,,136.31,566.25
19385,1991,3,10819,866280,1467060,35583,Reeve Aleutian Airways Inc.,0,1271613,1271613,0,0,0,0,1271613,0,439970,439970,0,0,0,0,0,0,1711583,0,1711583,814,204,1018,916,2570.68,,,,32.03,-1013.88
19385,1991,4,7926,714760,1365460,33832,Reeve Aleutian Airways Inc.,0,1189436,1189436,0,0,0,0,1189436,0,418305,418305,0,0,0,0,0,0,1607741,0,1607741,832,165,997,915,2572.03,,,,132.28,-2206.05
19385,1992,1,11877,992260,1756040,41140,Reeve Aleutian Airways Inc.,1444061,0,1444061,0,0,0,0,1444061,0,108660,108660,0,0,0,0,0,0,1552721,0,1552721,846,168,1014,931,2274.68,,,,148.59,-2336.64
19385,1992,2,14830,1152400,1235440,38593,Reeve Aleutian Airways Inc.,1491617,0,1491617,0,0,0,0,1491617,0,27943,27943,0,0,0,0,0,0,1519560,0,1519560,840,143,983,913,1916.26,,,,83.16,-1697.63
19385,1992,3,16915,1415600,1676680,39936,Reeve Aleutian Airways Inc.,1498379,0,1498379,0,0,0,0,1498379,0,23586,23586,0,0,0,0,0,0,1521965,0,1521965,838,179,1017,928,2081.16,,,,212.17,-327.8
19385,1992,4,12908,1212900,1812840,39583,Reeve Aleutian Airways Inc.,1459890,0,1459890,0,0,0,0,1459890,0,17058,17058,0,0,0,0,0,0,1476948,0,1476948,828,183,1011,920,2118.8,,,,-20.81,-1263.93
19385,1993,1,16374,1204200,1467920,42543,Reeve Aleutian Airways Inc.,1250944,0,1250944,0,0,0,0,1250944,13000,19414,32414,0,0,0,0,0,0,1283358,0,1283358,813,179,992,903,1730.66,,,,129.48,36.44
19385,1993,2,12939,1037100,1852780,38268,Reeve Aleutian Airways Inc.,1327127,0,1327127,0,0,0,0,1327127,13000,7599,20599,0,0,0,0,0,0,1347726,0,1347726,790,180,970,880,1883.26,,,,92.44,-681.49
19385,1993,3,12343,1310480,1847140,40049,Reeve Aleutian Airways Inc.,1421462,0,1421462,0,0,0,0,1421462,9000,3905,12905,0,0,0,0,0,0,1434367,0,1434367,772,191,963,868,1986.76,,,,57.75,-676.55
19385,1993,4,9062,1064040,1613280,39705,Reeve Aleutian Airways Inc.,1272699,0,1272699,0,0,0,0,1272699,0,0,0,0,0,0,0,0,0,1272699,0,1272699,775,150,925,851,1957.35,,,,42.73,-1986.86
19385,1994,1,10835,850380,1435780,41831,Reeve Aleutian Airways Inc.,1168962,0,1168962,0,0,0,0,1168962,906,3501,4407,0,0,0,14793,14793,0,1173369,0,1188162,773,140,913,843,1742.42,,,,90.55,-1315.83
19385,1994,2,8944,1137880,1553020,39838,Reeve Aleutian Airways Inc.,1207419,0,1207419,0,0,0,0,1207419,5953,0,5953,0,10533,0,0,10533,0,1213372,0,1223905,782,150,932,858,1638.53,,,,60.93,-575.38
19385,1994,3,9836,1179820,1485540,41187,Reeve Aleutian Airways Inc.,1179508,0,1179508,0,0,0,0,1179508,6004,6743,12747,0,13903,0,0,13903,0,1192255,0,1206158,786,154,940,864,1403.66,,,,-45.85,-305.57
19385,1994,4,8645,1097500,1386800,41402,Reeve Aleutian Airways Inc.,1025430,0,1025430,0,0,0,0,1025430,1349,0,1349,0,4585,0,0,4585,0,1026779,0,1031364,793,125,918,856,1534.39,,,,-49.29,-1220
19385,1995,1,14680,936100,1120240,43547,Reeve Aleutian Airways Inc.,1075331,0,1075331,0,0,0,0,1075331,6605,7684,14289,0,12542,0,0,12542,0,1089620,0,1102162,776,131,907,842,1743.21,,,,66.26,-610.94
19385,1995,2,13915,1113600,1864540,35239,Reeve Aleutian Airways Inc.,1137987,0,1137987,0,0,0,0,1137987,3026,5367,8393,0,2362,0,0,2362,0,1146380,0,1148742,613,277,890,753,1911.22,,,,2.97,-499.77
19385,1995,3,17141,1173840,3279820,35434,Reeve Aleutian Airways Inc.,1445816,0,1445816,0,0,0,0,1445816,6921,0,6921,0,889,0,0,889,0,1452737,0,1453626,734,254,988,862,1760.61,,,,52.61,422.36
19385,1995,4,14021,1111580,2879540,35399,Reeve Aleutian Airways Inc.,1302338,0,1302338,0,0,0,0,1302338,1962,3344,5306,0,15768,0,0,15768,0,1307644,0,1323412,749,186,935,843,2274.7,,,,123.27,-2179.97
19385,1996,1,16522,1261188,2842335,38459,Reeve Aleutian Airways Inc.,870428,487157,1357585,0,0,0,0,1357585,7192,23973,31165,0,3254,0,0,3254,0,1388750,0,1392004,798,154,952,875,2041.25,,,,62.25,-595.43
19385,1996,2,18642,1052780,3313980,38447,Reeve Aleutian Airways Inc.,1366006,0,1366006,0,0,0,0,1366006,369,3891,4260,1633,0,0,0,1633,0,1370266,0,1371899,799,172,971,886,2010.6,,,,78.12,33.25
19385,1996,3,21255,1011560,3650060,38872,Reeve Aleutian Airways Inc.,1516003,0,1516003,0,0,0,0,1516003,1354,3712,5066,0,15678,0,0,15678,0,1521069,0,1536747,797,199,996,897,1891.93,,,,101,-149.55
19385,1996,4,16090,965200,3006280,36167,Reeve Aleutian Airways Inc.,1268522,0,1268522,0,0,0,0,1268522,1855,0,1855,0,13595,0,0,13595,0,1270377,0,1283972,827,168,995,912,2280.64,,,,89.2,-2374.55
