INFO:training:Epoch: 1 | Training Loss: 45235978.5025641 | RMSE: 44633667.1033 | RSE: 0.27090001106262207 | MAE: 21507920.0821 | RAE: 0.1826000064611435 | Correlation: 0.30889999866485596
INFO:training:Epoch: 1 | Training Loss: 27889137.55897436 | RMSE: 99693777.5796 | RSE: 0.6050999760627747 | MAE: 44453861.7436 | RAE: 0.3774999976158142 | Correlation: -0.07890000194311142
INFO:training:Epoch: 1 | Training Loss: 96464360.36923076 | RMSE: 261647181.7296 | RSE: 1.5880000591278076 | MAE: 115879788.9641 | RAE: 0.9839000105857849 | Correlation: -0.023099999874830246
INFO:training:Epoch: 1 | Training Loss: 24532665.545299146 | RMSE: 84275631.4238 | RSE: 0.5115000009536743 | MAE: 37124253.5385 | RAE: 0.31520000100135803 | Correlation: -0.11909999698400497
INFO:training:Epoch: 1 | Training Loss: 16145538.188034188 | RMSE: 65855576.9144 | RSE: 0.39969998598098755 | MAE: 27813257.8462 | RAE: 0.2362000048160553 | Correlation: 0.06750000268220901
INFO:training:Epoch: 2 | Training Loss: 15062411.815384615 | RMSE: 57857201.3686 | RSE: 0.35109999775886536 | MAE: 24919927.4667 | RAE: 0.21160000562667847 | Correlation: -0.033399999141693115
INFO:training:Epoch: 3 | Training Loss: 12601293.565811966 | RMSE: 42070752.0923 | RSE: 0.25529998540878296 | MAE: 18117227.6513 | RAE: 0.15379999577999115 | Correlation: -0.12549999356269836
INFO:training:Epoch: 4 | Training Loss: 12034646.974358974 | RMSE: 41586464.1126 | RSE: 0.2524000108242035 | MAE: 17706440.8615 | RAE: 0.15029999613761902 | Correlation: -0.16290000081062317
INFO:training:Epoch: 5 | Training Loss: 9949250.188034188 | RMSE: 44133639.6965 | RSE: 0.2678999900817871 | MAE: 18881991.5487 | RAE: 0.16030000150203705 | Correlation: -0.20489999651908875
INFO:training:Epoch: 6 | Training Loss: 7414937.162393162 | RMSE: 37577834.1706 | RSE: 0.2281000018119812 | MAE: 14686066.2154 | RAE: 0.12470000237226486 | Correlation: -0.16169999539852142
INFO:training:Epoch: 7 | Training Loss: 5420376.834188034 | RMSE: 36618615.1205 | RSE: 0.22220000624656677 | MAE: 13525254.5641 | RAE: 0.11479999870061874 | Correlation: -0.13850000500679016
INFO:training:Epoch: 8 | Training Loss: 5245316.047863248 | RMSE: 35785715.0777 | RSE: 0.21719999611377716 | MAE: 12352879.5897 | RAE: 0.10490000247955322 | Correlation: -0.14560000598430634
INFO:training:Epoch: 9 | Training Loss: 5074255.863247863 | RMSE: 35305504.1714 | RSE: 0.2143000066280365 | MAE: 10750416.0821 | RAE: 0.09130000323057175 | Correlation: -0.16210000216960907
INFO:training:Epoch: 10 | Training Loss: 4628670.194871794 | RMSE: 35491226.0644 | RSE: 0.21539999544620514 | MAE: 11069036.9641 | RAE: 0.09399999678134918 | Correlation: -0.2102999985218048
INFO:training:Epoch: 1 | Training Loss: 24511644.006837606 | RMSE: 78391277.1736 | RSE: 0.4758000075817108 | MAE: 30080131.2821 | RAE: 0.25540000200271606 | Correlation: -0.19550000131130219
INFO:training:Epoch: 2 | Training Loss: 14034390.974358974 | RMSE: 64905406.8964 | RSE: 0.3939000070095062 | MAE: 23773383.5487 | RAE: 0.20190000534057617 | Correlation: -0.17649999260902405
INFO:training:Epoch: 3 | Training Loss: 8530982.071794871 | RMSE: 38113795.024 | RSE: 0.2312999963760376 | MAE: 12091279.0974 | RAE: 0.10270000249147415 | Correlation: -0.13289999961853027
INFO:training:Epoch: 4 | Training Loss: 7207041.695726496 | RMSE: 51098388.6931 | RSE: 0.3100999891757965 | MAE: 16620461.2923 | RAE: 0.14110000431537628 | Correlation: -0.14669999480247498
INFO:training:Epoch: 5 | Training Loss: 5740118.263247863 | RMSE: 37771298.1007 | RSE: 0.22920000553131104 | MAE: 11238133.4974 | RAE: 0.09539999812841415 | Correlation: -0.1128000020980835
INFO:training:Epoch: 6 | Training Loss: 5436504.888888889 | RMSE: 46013943.7976 | RSE: 0.2793000042438507 | MAE: 13357483.9795 | RAE: 0.11339999735355377 | Correlation: -0.12210000306367874
INFO:training:Epoch: 7 | Training Loss: 5501167.699145299 | RMSE: 39829135.6525 | RSE: 0.24169999361038208 | MAE: 9518972.7179 | RAE: 0.08079999685287476 | Correlation: -0.12399999797344208
INFO:training:Epoch: 8 | Training Loss: 4471357.811965812 | RMSE: 42122610.7363 | RSE: 0.2556000053882599 | MAE: 10203182.6051 | RAE: 0.08659999817609787 | Correlation: -0.12610000371932983
INFO:training:Epoch: 9 | Training Loss: 3654897.3401709404 | RMSE: 39147180.9157 | RSE: 0.23759999871253967 | MAE: 8627416.6154 | RAE: 0.07329999655485153 | Correlation: -0.12049999833106995
INFO:training:Epoch: 10 | Training Loss: 3625108.7863247865 | RMSE: 39843309.8135 | RSE: 0.241799995303154 | MAE: 8521288.2051 | RAE: 0.07240000367164612 | Correlation: -0.12449999898672104
