INFO:training:Epoch: 1 | Training Loss: 1530643.8707317074 | MAE: 30421969.2414 | MSE: 49363576096979.86 | RMSE: 2631.1455 | RSE: 386.8491 | RAE: 129.1309 | Correlation: 0.9315000176429749
INFO:training:Epoch: 2 | Training Loss: 1420663.2073170731 | MAE: 29378046.6897 | MSE: 46186501712931.31 | RMSE: 2586.718 | RSE: 374.1852 | RAE: 124.8662 | Correlation: 0.9319999814033508
INFO:training:Epoch: 3 | Training Loss: 1353995.5658536586 | MAE: 27380843.2069 | MSE: 40598668195063.17 | RMSE: 2499.7263 | RSE: 346.0503 | RAE: 115.5018 | Correlation: 0.9312999844551086
INFO:training:Epoch: 4 | Training Loss: 1259857.8536585367 | MAE: 25899150.3103 | MSE: 36696480257553.66 | RMSE: 2433.1629 | RSE: 324.951 | RAE: 108.4947 | Correlation: 0.9312999844551086
INFO:training:Epoch: 5 | Training Loss: 1193259.8634146343 | MAE: 24844977.8966 | MSE: 34069689591172.414 | RMSE: 2384.8492 | RSE: 310.1038 | RAE: 103.5561 | Correlation: 0.9312999844551086
INFO:training:Epoch: 6 | Training Loss: 1136105.163414634 | MAE: 23845383.3793 | MSE: 31690366223465.934 | RMSE: 2338.22 | RSE: 296.1196 | RAE: 98.8984 | Correlation: 0.9312000274658203
INFO:training:Epoch: 7 | Training Loss: 1085328.0658536586 | MAE: 22885542.7931 | MSE: 29501570344324.414 | RMSE: 2292.5785 | RSE: 282.5387 | RAE: 94.3792 | Correlation: 0.9312000274658203
INFO:training:Epoch: 8 | Training Loss: 1028378.9317073171 | MAE: 21763894.9655 | MSE: 27043521409165.242 | RMSE: 2238.436 | RSE: 267.4144 | RAE: 89.3372 | Correlation: 0.9315000176429749
INFO:training:Epoch: 9 | Training Loss: 919646.1951219512 | MAE: 18707293.6207 | MSE: 21085724714937.38 | RMSE: 2083.2504 | RSE: 223.9809 | RAE: 74.8841 | Correlation: 0.9312999844551086
INFO:training:Epoch: 10 | Training Loss: 781645.3109756098 | MAE: 16165318.0862 | MSE: 16857624685603.312 | RMSE: 1945.1239 | RSE: 187.7636 | RAE: 62.8308 | Correlation: 0.9312000274658203
INFO:training:Epoch: 11 | Training Loss: 661364.9207317074 | MAE: 13994993.569 | MSE: 13797012944119.172 | RMSE: 1820.3518 | RSE: 156.9353 | RAE: 52.5707 | Correlation: 0.9309999942779541
INFO:training:Epoch: 12 | Training Loss: 549559.3024390244 | MAE: 11922770.3621 | MSE: 11351219019493.518 | RMSE: 1693.6657 | RSE: 127.2486 | RAE: 42.6892 | Correlation: 0.9307000041007996
INFO:training:Epoch: 13 | Training Loss: 431607.4615853659 | MAE: 9348447.3707 | MSE: 8968480362919.725 | RMSE: 1524.2526 | RSE: 90.0962 | RAE: 30.3203 | Correlation: 0.9302999973297119
INFO:training:Epoch: 14 | Training Loss: 299749.1618902439 | MAE: 6737950.3276 | MSE: 7279653126144.0 | RMSE: 1332.2534 | RSE: 50.2467 | RAE: 17.1138 | Correlation: 0.9297999739646912
INFO:training:Epoch: 15 | Training Loss: 180315.2961890244 | MAE: 4701824.9009 | MSE: 6524388675230.896 | RMSE: 1166.7739 | RSE: 16.0409 | RAE: 5.8529 | Correlation: 0.9293000102043152
INFO:training:Epoch: 16 | Training Loss: 119834.32469512195 | MAE: 3940832.719 | MSE: 6383798749474.207 | RMSE: 1107.1201 | RSE: 2.0812 | RAE: 1.2902 | Correlation: 0.929099977016449
INFO:training:Epoch: 17 | Training Loss: 111470.07240853658 | MAE: 3967408.038 | MSE: 6378654912512.0 | RMSE: 1110.0445 | RSE: 4.5787 | RAE: 1.9985 | Correlation: 0.929099977016449
INFO:training:Epoch: 18 | Training Loss: 110031.61791158536 | MAE: 3951823.2271 | MSE: 6376725388301.241 | RMSE: 1108.389 | RSE: 3.5046 | RAE: 1.6846 | Correlation: 0.929099977016449
INFO:training:Epoch: 19 | Training Loss: 107322.63574695121 | MAE: 3945265.0762 | MSE: 6374925323981.241 | RMSE: 1107.6528 | RSE: 2.9144 | RAE: 1.5169 | Correlation: 0.929099977016449
INFO:training:Epoch: 20 | Training Loss: 110438.51143292683 | MAE: 3943936.6606 | MSE: 6374121868689.655 | RMSE: 1107.4601 | RSE: 2.7246 | RAE: 1.4644 | Correlation: 0.929099977016449
