INFO:training:Epoch: 1 | Training Loss: 568087.9961538462 | MAE: 10807123.2232 | MSE: 9820058711771.428 | RMSE: 1648.955 | RSE: 175.1868 | RAE: 63.552 | Correlation: 0.9315000176429749
INFO:training:Epoch: 2 | Training Loss: 471813.2737179487 | MAE: 8910630.3304 | MSE: 7984062225261.714 | RMSE: 1520.0671 | RSE: 137.9501 | RAE: 50.0152 | Correlation: 0.9315000176429749
INFO:training:Epoch: 3 | Training Loss: 368278.65705128206 | MAE: 6915317.4888 | MSE: 6498780021906.286 | RMSE: 1369.9186 | RSE: 95.7692 | RAE: 34.7323 | Correlation: 0.9314000010490417
INFO:training:Epoch: 4 | Training Loss: 272624.4483974359 | MAE: 5369829.6496 | MSE: 5721259957394.286 | RMSE: 1242.4948 | RSE: 60.0144 | RAE: 21.8015 | Correlation: 0.9312000274658203
INFO:training:Epoch: 5 | Training Loss: 187132.8451923077 | MAE: 4284350.4163 | MSE: 5421388842934.857 | RMSE: 1147.7035 | RSE: 30.4505 | RAE: 11.2226 | Correlation: 0.930899977684021
INFO:training:Epoch: 6 | Training Loss: 127906.3592948718 | MAE: 3725685.2539 | MSE: 5391773575625.143 | RMSE: 1097.3829 | RSE: 9.0614 | RAE: 3.7079 | Correlation: 0.9305999875068665
INFO:training:Epoch: 7 | Training Loss: 103609.60440705129 | MAE: 3702545.7785 | MSE: 5430363107895.0 | RMSE: 1093.767 | RSE: 1.3127 | RAE: 1.188 | Correlation: 0.9304999709129333
INFO:training:Epoch: 8 | Training Loss: 101088.37051282052 | MAE: 3744804.9994 | MSE: 5439106209897.143 | RMSE: 1096.8273 | RSE: 2.2903 | RAE: 1.5734 | Correlation: 0.930400013923645
INFO:training:Epoch: 9 | Training Loss: 98782.04903846154 | MAE: 3754536.0199 | MSE: 5440960763632.0 | RMSE: 1097.5299 | RSE: 2.4929 | RAE: 1.6464 | Correlation: 0.930400013923645
INFO:training:Epoch: 10 | Training Loss: 101644.92612179487 | MAE: 3759935.3101 | MSE: 5441779837212.571 | RMSE: 1097.8872 | RSE: 2.5566 | RAE: 1.6705 | Correlation: 0.930400013923645
INFO:training:Epoch: 11 | Training Loss: 100142.22155448717 | MAE: 3744341.0661 | MSE: 5439746771305.714 | RMSE: 1096.7262 | RSE: 2.0457 | RAE: 1.4919 | Correlation: 0.9302999973297119
INFO:training:Epoch: 12 | Training Loss: 96787.93870192308 | MAE: 3752006.9503 | MSE: 5441039443412.571 | RMSE: 1097.2549 | RSE: 2.189 | RAE: 1.5434 | Correlation: 0.9302999973297119
INFO:training:Epoch: 13 | Training Loss: 98435.35104166667 | MAE: 3776972.3301 | MSE: 5445149306747.429 | RMSE: 1099.0755 | RSE: 2.8271 | RAE: 1.7653 | Correlation: 0.9302999973297119
INFO:training:Epoch: 14 | Training Loss: 102323.31514423077 | MAE: 3759385.137 | MSE: 5441268942530.286 | RMSE: 1097.7147 | RSE: 2.3015 | RAE: 1.5836 | Correlation: 0.9301999807357788
INFO:training:Epoch: 15 | Training Loss: 97761.92556089743 | MAE: 3741271.7317 | MSE: 5437234865478.286 | RMSE: 1096.3413 | RSE: 1.7841 | RAE: 1.3969 | Correlation: 0.9301999807357788
INFO:training:Epoch: 16 | Training Loss: 99122.24871794872 | MAE: 3752913.2879 | MSE: 5439644863987.429 | RMSE: 1097.1761 | RSE: 2.0537 | RAE: 1.4964 | Correlation: 0.9301999807357788
INFO:training:Epoch: 17 | Training Loss: 100891.97636217948 | MAE: 3724103.377 | MSE: 5433996685845.714 | RMSE: 1095.0923 | RSE: 1.2976 | RAE: 1.1884 | Correlation: 0.9301000237464905
INFO:training:Epoch: 18 | Training Loss: 99582.80288461539 | MAE: 3721661.483 | MSE: 5432564899641.357 | RMSE: 1094.868 | RSE: 1.2242 | RAE: 1.1449 | Correlation: 0.9301000237464905
INFO:training:Epoch: 19 | Training Loss: 99395.67355769231 | MAE: 3743884.3956 | MSE: 5436997675149.143 | RMSE: 1096.432 | RSE: 1.6698 | RAE: 1.3535 | Correlation: 0.9300000071525574
INFO:training:Epoch: 20 | Training Loss: 99363.728125 | MAE: 3708125.1256 | MSE: 5428328059270.786 | RMSE: 1093.9354 | RSE: 1.2066 | RAE: 1.1195 | Correlation: 0.9300000071525574
INFO:training:Epoch: 21 | Training Loss: 98396.74887820512 | MAE: 3732946.0588 | MSE: 5435983747887.714 | RMSE: 1095.6613 | RSE: 1.3624 | RAE: 1.2215 | Correlation: 0.9298999905586243
INFO:training:Epoch: 22 | Training Loss: 96965.64615384616 | MAE: 3706728.6211 | MSE: 5427604160853.286 | RMSE: 1093.8397 | RSE: 1.2975 | RAE: 1.1671 | Correlation: 0.9298999905586243
INFO:training:Epoch: 23 | Training Loss: 99607.9701121795 | MAE: 3724168.2958 | MSE: 5431897948920.464 | RMSE: 1094.9384 | RSE: 1.1948 | RAE: 1.1236 | Correlation: 0.9298999905586243
INFO:training:Epoch: 24 | Training Loss: 98177.62860576923 | MAE: 3720016.3912 | MSE: 5427791233639.0 | RMSE: 1094.5402 | RSE: 1.1551 | RAE: 1.0865 | Correlation: 0.9297999739646912
INFO:training:Epoch: 25 | Training Loss: 97072.36386217948 | MAE: 3717577.2841 | MSE: 5425563826493.464 | RMSE: 1094.3211 | RSE: 1.1439 | RAE: 1.0715 | Correlation: 0.9297999739646912
INFO:training:Epoch: 26 | Training Loss: 96733.57556089743 | MAE: 3719624.6972 | MSE: 5427511204086.955 | RMSE: 1094.4962 | RSE: 1.1442 | RAE: 1.0718 | Correlation: 0.9297000169754028
INFO:training:Epoch: 27 | Training Loss: 95000.021875 | MAE: 3710235.9301 | MSE: 5425005811926.714 | RMSE: 1093.9339 | RSE: 1.3322 | RAE: 1.1839 | Correlation: 0.9296000003814697
INFO:training:Epoch: 28 | Training Loss: 97516.94879807692 | MAE: 3714662.5913 | MSE: 5426916277228.071 | RMSE: 1094.2043 | RSE: 1.1959 | RAE: 1.1134 | Correlation: 0.9296000003814697
INFO:training:Epoch: 29 | Training Loss: 97060.71209935898 | MAE: 3701296.7266 | MSE: 5417150277960.0 | RMSE: 1093.438 | RSE: 2.3405 | RAE: 1.5202 | Correlation: 0.9296000003814697
INFO:training:Epoch: 30 | Training Loss: 96859.72596153847 | MAE: 3699518.5642 | MSE: 5410145927238.857 | RMSE: 1093.3536 | RSE: 3.1786 | RAE: 1.7762 | Correlation: 0.9296000003814697
INFO:training:Epoch: 31 | Training Loss: 98302.97828525641 | MAE: 3704177.9651 | MSE: 5415116075900.571 | RMSE: 1093.3981 | RSE: 1.96 | RAE: 1.4024 | Correlation: 0.9294999837875366
INFO:training:Epoch: 32 | Training Loss: 96031.90280448718 | MAE: 3712957.7924 | MSE: 5418547153775.429 | RMSE: 1093.8288 | RSE: 1.3694 | RAE: 1.2 | Correlation: 0.9294999837875366
INFO:training:Epoch: 33 | Training Loss: 95480.81370192308 | MAE: 3730891.9677 | MSE: 5424212317410.893 | RMSE: 1094.9753 | RSE: 1.1834 | RAE: 1.1149 | Correlation: 0.9294000267982483
INFO:training:Epoch: 34 | Training Loss: 92483.57411858975 | MAE: 3700930.9259 | MSE: 5409401608329.143 | RMSE: 1093.2165 | RSE: 2.6637 | RAE: 1.6181 | Correlation: 0.9294000267982483
INFO:training:Epoch: 35 | Training Loss: 94619.38012820513 | MAE: 3709531.5499 | MSE: 5417057296901.714 | RMSE: 1093.6106 | RSE: 1.5724 | RAE: 1.2755 | Correlation: 0.9294000267982483
INFO:training:Epoch: 36 | Training Loss: 95902.54190705129 | MAE: 3701315.966 | MSE: 5409736823072.0 | RMSE: 1093.1746 | RSE: 2.5326 | RAE: 1.578 | Correlation: 0.9294000267982483
INFO:training:Epoch: 37 | Training Loss: 95459.53125 | MAE: 3703493.4312 | MSE: 5410754067307.429 | RMSE: 1093.2106 | RSE: 2.1688 | RAE: 1.467 | Correlation: 0.9294000267982483
INFO:training:Epoch: 38 | Training Loss: 95921.3640224359 | MAE: 3703518.8691 | MSE: 5410127135531.429 | RMSE: 1093.1837 | RSE: 2.1507 | RAE: 1.4614 | Correlation: 0.9294000267982483
INFO:training:Epoch: 39 | Training Loss: 95790.68822115385 | MAE: 3702428.5879 | MSE: 5408184615227.429 | RMSE: 1093.1546 | RSE: 2.4908 | RAE: 1.5654 | Correlation: 0.9293000102043152
INFO:training:Epoch: 40 | Training Loss: 95240.9857371795 | MAE: 3701692.8401 | MSE: 5404616133145.143 | RMSE: 1093.1192 | RSE: 2.8843 | RAE: 1.6852 | Correlation: 0.9293000102043152
INFO:training:Epoch: 41 | Training Loss: 95246.94551282052 | MAE: 3718524.3137 | MSE: 5415099697294.643 | RMSE: 1093.9103 | RSE: 1.2099 | RAE: 1.1224 | Correlation: 0.9293000102043152
INFO:training:Epoch: 42 | Training Loss: 94135.76001602564 | MAE: 3701534.8675 | MSE: 5402812958580.571 | RMSE: 1093.0094 | RSE: 2.8245 | RAE: 1.667 | Correlation: 0.9293000102043152
INFO:training:Epoch: 43 | Training Loss: 96390.18373397437 | MAE: 3701771.6602 | MSE: 5395679003497.143 | RMSE: 1093.0574 | RSE: 3.7076 | RAE: 1.9408 | Correlation: 0.9293000102043152
INFO:training:Epoch: 44 | Training Loss: 94739.390625 | MAE: 3702143.2623 | MSE: 5398185933161.143 | RMSE: 1092.8045 | RSE: 2.5796 | RAE: 1.5925 | Correlation: 0.9293000102043152
INFO:training:Epoch: 45 | Training Loss: 95859.00040064103 | MAE: 3701861.7204 | MSE: 5395672642077.714 | RMSE: 1092.7941 | RSE: 2.8693 | RAE: 1.6807 | Correlation: 0.9291999936103821
INFO:training:Epoch: 46 | Training Loss: 96081.78645833333 | MAE: 3711690.9598 | MSE: 5403391142948.286 | RMSE: 1093.1774 | RSE: 1.4659 | RAE: 1.2372 | Correlation: 0.9293000102043152
INFO:training:Epoch: 47 | Training Loss: 95160.28341346154 | MAE: 3706412.4068 | MSE: 5400198770180.571 | RMSE: 1092.8719 | RSE: 1.821 | RAE: 1.358 | Correlation: 0.9293000102043152
INFO:training:Epoch: 48 | Training Loss: 93289.49919871795 | MAE: 3703610.2299 | MSE: 5398271733910.857 | RMSE: 1092.8259 | RSE: 2.4185 | RAE: 1.5435 | Correlation: 0.9291999936103821
INFO:training:Epoch: 49 | Training Loss: 93990.85496794872 | MAE: 3702006.2644 | MSE: 5394896031413.714 | RMSE: 1092.78 | RSE: 2.937 | RAE: 1.7014 | Correlation: 0.9291999936103821
INFO:training:Epoch: 50 | Training Loss: 91893.27540064103 | MAE: 3702027.9201 | MSE: 5393850575858.286 | RMSE: 1092.6738 | RSE: 2.7324 | RAE: 1.6389 | Correlation: 0.9291999936103821
INFO:training:Epoch: 51 | Training Loss: 94426.53886217948 | MAE: 3701004.3119 | MSE: 5389015855364.571 | RMSE: 1092.5956 | RSE: 3.1939 | RAE: 1.7805 | Correlation: 0.9291999936103821
INFO:training:Epoch: 52 | Training Loss: 90414.78798076924 | MAE: 3702500.5989 | MSE: 5385194644336.0 | RMSE: 1092.8019 | RSE: 3.9568 | RAE: 2.0188 | Correlation: 0.9291999936103821
INFO:training:Epoch: 53 | Training Loss: 94356.0561698718 | MAE: 3708495.3422 | MSE: 5397507757893.429 | RMSE: 1092.8199 | RSE: 1.6774 | RAE: 1.3112 | Correlation: 0.9291999936103821
INFO:training:Epoch: 54 | Training Loss: 92972.7484775641 | MAE: 3701804.0014 | MSE: 5384233303376.0 | RMSE: 1092.6741 | RSE: 3.8501 | RAE: 1.9852 | Correlation: 0.9291999936103821
INFO:training:Epoch: 55 | Training Loss: 92732.27155448718 | MAE: 3708029.9166 | MSE: 5396461854363.429 | RMSE: 1092.7548 | RSE: 1.7236 | RAE: 1.3265 | Correlation: 0.929099977016449
INFO:training:Epoch: 56 | Training Loss: 94439.72323717948 | MAE: 3701380.4238 | MSE: 5389141381597.714 | RMSE: 1092.5125 | RSE: 2.9618 | RAE: 1.7088 | Correlation: 0.929099977016449
INFO:training:Epoch: 57 | Training Loss: 95722.5766025641 | MAE: 3701457.3535 | MSE: 5386073748864.0 | RMSE: 1092.5389 | RSE: 3.3689 | RAE: 1.8348 | Correlation: 0.929099977016449
INFO:training:Epoch: 58 | Training Loss: 94405.52628205129 | MAE: 3704528.2693 | MSE: 5380748770441.143 | RMSE: 1092.9005 | RSE: 4.4033 | RAE: 2.1601 | Correlation: 0.9290000200271606
INFO:training:Epoch: 59 | Training Loss: 94593.85360576923 | MAE: 3701721.2137 | MSE: 5386595329053.714 | RMSE: 1092.5272 | RSE: 3.2668 | RAE: 1.803 | Correlation: 0.9290000200271606
INFO:training:Epoch: 60 | Training Loss: 91446.60048076924 | MAE: 3702066.0575 | MSE: 5388143959448.0 | RMSE: 1092.3976 | RSE: 2.6471 | RAE: 1.6128 | Correlation: 0.9290000200271606
INFO:training:Epoch: 61 | Training Loss: 93994.09463141026 | MAE: 3701794.1055 | MSE: 5384642710452.571 | RMSE: 1092.5308 | RSE: 3.5156 | RAE: 1.8805 | Correlation: 0.9290000200271606
INFO:training:Epoch: 62 | Training Loss: 92842.32315705129 | MAE: 3702624.2461 | MSE: 5389588779027.429 | RMSE: 1092.4126 | RSE: 2.5132 | RAE: 1.5718 | Correlation: 0.9290000200271606
INFO:training:Epoch: 63 | Training Loss: 90756.27716346153 | MAE: 3700405.2559 | MSE: 5382782830377.143 | RMSE: 1092.2288 | RSE: 3.081 | RAE: 1.7452 | Correlation: 0.929099977016449
INFO:training:Epoch: 64 | Training Loss: 92320.00448717948 | MAE: 3699849.0938 | MSE: 5380689887990.857 | RMSE: 1092.1793 | RSE: 3.277 | RAE: 1.8059 | Correlation: 0.929099977016449
INFO:training:Epoch: 65 | Training Loss: 92677.97147435897 | MAE: 3705063.7538 | MSE: 5389448566762.857 | RMSE: 1092.349 | RSE: 1.9496 | RAE: 1.3981 | Correlation: 0.9290000200271606
INFO:training:Epoch: 66 | Training Loss: 93779.96225961538 | MAE: 3701409.2634 | MSE: 5384152975021.714 | RMSE: 1092.3213 | RSE: 3.1523 | RAE: 1.7673 | Correlation: 0.9290000200271606
INFO:training:Epoch: 67 | Training Loss: 94770.6001602564 | MAE: 3703432.21 | MSE: 5389480578592.0 | RMSE: 1092.3704 | RSE: 2.4045 | RAE: 1.5388 | Correlation: 0.9289000034332275
INFO:training:Epoch: 68 | Training Loss: 95047.38701923077 | MAE: 3703514.847 | MSE: 5376244688106.286 | RMSE: 1092.5977 | RSE: 4.3413 | RAE: 2.1401 | Correlation: 0.9290000200271606
INFO:training:Epoch: 69 | Training Loss: 92356.16570512821 | MAE: 3704973.5635 | MSE: 5387804287857.143 | RMSE: 1092.3014 | RSE: 2.0322 | RAE: 1.4239 | Correlation: 0.9289000034332275
INFO:training:Epoch: 70 | Training Loss: 92747.23685897436 | MAE: 3701018.2486 | MSE: 5381554900331.429 | RMSE: 1092.1524 | RSE: 2.9487 | RAE: 1.7045 | Correlation: 0.9289000034332275
INFO:training:Epoch: 71 | Training Loss: 93082.40496794872 | MAE: 3700949.2665 | MSE: 5380137049408.0 | RMSE: 1092.1217 | RSE: 3.0467 | RAE: 1.7346 | Correlation: 0.9289000034332275
INFO:training:Epoch: 72 | Training Loss: 89847.14078525642 | MAE: 3702265.1918 | MSE: 5382632752987.429 | RMSE: 1092.037 | RSE: 2.292 | RAE: 1.5041 | Correlation: 0.9289000034332275
INFO:training:Epoch: 73 | Training Loss: 94951.00376602563 | MAE: 3704767.3956 | MSE: 5384780550296.0 | RMSE: 1092.1265 | RSE: 1.8702 | RAE: 1.3727 | Correlation: 0.9289000034332275
INFO:training:Epoch: 74 | Training Loss: 92822.2453525641 | MAE: 3702386.0911 | MSE: 5382431415862.857 | RMSE: 1091.9532 | RSE: 2.0911 | RAE: 1.4418 | Correlation: 0.9290000200271606
INFO:training:Epoch: 75 | Training Loss: 91296.13713942308 | MAE: 3699075.6842 | MSE: 5376989940710.857 | RMSE: 1091.7828 | RSE: 2.7576 | RAE: 1.6457 | Correlation: 0.9290000200271606
INFO:training:Epoch: 76 | Training Loss: 90941.9530448718 | MAE: 3699183.4129 | MSE: 5377991406237.714 | RMSE: 1091.7884 | RSE: 2.6625 | RAE: 1.6167 | Correlation: 0.9290000200271606
INFO:training:Epoch: 77 | Training Loss: 91001.5141025641 | MAE: 3700515.9777 | MSE: 5370635871822.857 | RMSE: 1092.1224 | RSE: 4.1554 | RAE: 2.0809 | Correlation: 0.9290000200271606
INFO:training:Epoch: 78 | Training Loss: 91169.63774038461 | MAE: 3703228.4182 | MSE: 5383660930718.857 | RMSE: 1091.9988 | RSE: 1.9755 | RAE: 1.4056 | Correlation: 0.9289000034332275
INFO:training:Epoch: 79 | Training Loss: 90059.1451923077 | MAE: 3701592.6934 | MSE: 5380889100110.857 | RMSE: 1091.8716 | RSE: 2.2453 | RAE: 1.4894 | Correlation: 0.9289000034332275
INFO:training:Epoch: 80 | Training Loss: 94403.73966346154 | MAE: 3698971.5123 | MSE: 5376925849714.286 | RMSE: 1091.836 | RSE: 3.0184 | RAE: 1.7255 | Correlation: 0.9289000034332275
INFO:training:Epoch: 81 | Training Loss: 90209.76915064102 | MAE: 3701374.0421 | MSE: 5379821891808.0 | RMSE: 1091.8167 | RSE: 2.2002 | RAE: 1.4755 | Correlation: 0.9287999868392944
INFO:training:Epoch: 82 | Training Loss: 92311.8373397436 | MAE: 3698521.8876 | MSE: 5373474666797.714 | RMSE: 1091.7909 | RSE: 3.3298 | RAE: 1.8219 | Correlation: 0.9287999868392944
