INFO:training:Epoch: 1 | Training Loss: 1609451.2048780487 | MAE: 29400080.0345 | MSE: 49768693136278.07 | RMSE: 2616.1555 | RSE: 428.8183 | RAE: 141.594 | Correlation: -0.9318000078201294
INFO:training:Epoch: 2 | Training Loss: 1542260.8146341464 | MAE: 28666690.5345 | MSE: 47545199181259.03 | RMSE: 2584.8788 | RSE: 417.4375 | RAE: 137.8552 | Correlation: -0.9315999746322632
INFO:training:Epoch: 3 | Training Loss: 1502758.843902439 | MAE: 28049776.4483 | MSE: 45702549511909.516 | RMSE: 2558.1146 | RSE: 408.4202 | RAE: 134.8512 | Correlation: -0.9318000078201294
INFO:training:Epoch: 4 | Training Loss: 1471391.1975609756 | MAE: 27416536.3621 | MSE: 43851774734477.24 | RMSE: 2530.3297 | RSE: 399.1062 | RAE: 131.7488 | Correlation: -0.9319999814033508
INFO:training:Epoch: 5 | Training Loss: 1435858.5097560976 | MAE: 26807145.0862 | MSE: 42134857381676.14 | RMSE: 2503.5015 | RSE: 390.097 | RAE: 128.7459 | Correlation: -0.9319999814033508
INFO:training:Epoch: 6 | Training Loss: 1401597.9585365853 | MAE: 26280793.1724 | MSE: 40676366311706.484 | RMSE: 2479.9093 | RSE: 382.0221 | RAE: 126.0602 | Correlation: -0.9319000244140625
INFO:training:Epoch: 7 | Training Loss: 1379141.287804878 | MAE: 25810330.2241 | MSE: 39381820822492.69 | RMSE: 2458.5638 | RSE: 374.7601 | RAE: 123.6498 | Correlation: -0.9318000078201294
INFO:training:Epoch: 8 | Training Loss: 1346465.824390244 | MAE: 25156160.6034 | MSE: 37620551308252.69 | RMSE: 2428.5982 | RSE: 364.6517 | RAE: 120.3062 | Correlation: -0.9315999746322632
INFO:training:Epoch: 9 | Training Loss: 1302341.0585365854 | MAE: 24337649.3276 | MSE: 35482261737330.76 | RMSE: 2390.6575 | RSE: 352.2891 | RAE: 116.1917 | Correlation: -0.9315000176429749
INFO:training:Epoch: 10 | Training Loss: 1259426.0024390244 | MAE: 23529295.7414 | MSE: 33436171067674.484 | RMSE: 2352.5839 | RSE: 339.9466 | RAE: 112.0877 | Correlation: -0.9314000010490417
INFO:training:Epoch: 11 | Training Loss: 1213391.4536585365 | MAE: 22734633.0603 | MSE: 31484823506237.793 | RMSE: 2314.4573 | RSE: 327.8139 | RAE: 108.0494 | Correlation: -0.9312999844551086
INFO:training:Epoch: 12 | Training Loss: 1163907.443902439 | MAE: 21921113.7586 | MSE: 29544491836804.414 | RMSE: 2274.4868 | RSE: 315.2136 | RAE: 103.856 | Correlation: -0.930899977684021
INFO:training:Epoch: 13 | Training Loss: 1115252.8268292684 | MAE: 21069947.6466 | MSE: 27587400551176.83 | RMSE: 2231.7944 | RSE: 302.0069 | RAE: 99.4528 | Correlation: -0.9302999973297119
INFO:training:Epoch: 14 | Training Loss: 1061968.2219512195 | MAE: 20061232.9655 | MSE: 25386643768990.9 | RMSE: 2180.2882 | RSE: 286.0264 | RAE: 94.1377 | Correlation: -0.9294999837875366
INFO:training:Epoch: 15 | Training Loss: 1007738.8463414634 | MAE: 19020653.0129 | MSE: 23225534723319.17 | RMSE: 2125.474 | RSE: 269.1633 | RAE: 88.5321 | Correlation: -0.9284999966621399
INFO:training:Epoch: 16 | Training Loss: 941899.325609756 | MAE: 17985470.3017 | MSE: 21195148603533.242 | RMSE: 2069.3151 | RSE: 252.0182 | RAE: 82.8373 | Correlation: -0.9273999929428101
INFO:training:Epoch: 17 | Training Loss: 876898.143902439 | MAE: 16928164.3448 | MSE: 19263981735794.758 | RMSE: 2010.6593 | RSE: 234.207 | RAE: 76.9256 | Correlation: -0.9262999892234802
INFO:training:Epoch: 18 | Training Loss: 805722.0378048781 | MAE: 15847767.0733 | MSE: 17434769698957.242 | RMSE: 1948.924 | RSE: 215.5269 | RAE: 70.731 | Correlation: -0.925000011920929
INFO:training:Epoch: 19 | Training Loss: 735914.6219512195 | MAE: 14776425.4655 | MSE: 15783322126547.863 | RMSE: 1886.0708 | RSE: 196.5752 | RAE: 64.4512 | Correlation: -0.923799991607666
INFO:training:Epoch: 20 | Training Loss: 671429.8243902439 | MAE: 13688647.8966 | MSE: 14294888029925.518 | RMSE: 1820.9941 | RSE: 176.9906 | RAE: 57.9654 | Correlation: -0.9225999712944031
INFO:training:Epoch: 21 | Training Loss: 594379.9560975609 | MAE: 12614451.6121 | MSE: 13009432215552.0 | RMSE: 1755.0783 | RSE: 157.1141 | RAE: 51.3896 | Correlation: -0.9215999841690063
INFO:training:Epoch: 22 | Training Loss: 528286.8591463414 | MAE: 11551069.7112 | MSE: 11905148684499.861 | RMSE: 1686.6669 | RSE: 136.2473 | RAE: 44.5058 | Correlation: -0.9203000068664551
INFO:training:Epoch: 23 | Training Loss: 453511.03231707314 | MAE: 10559941.4353 | MSE: 11049003806296.275 | RMSE: 1619.3945 | RSE: 115.2664 | RAE: 37.6068 | Correlation: -0.9190999865531921
INFO:training:Epoch: 24 | Training Loss: 382470.3292682927 | MAE: 9613644.0991 | MSE: 10436614929867.035 | RMSE: 1553.1266 | RSE: 93.8498 | RAE: 30.5843 | Correlation: -0.9178000092506409
INFO:training:Epoch: 25 | Training Loss: 320862.6783536585 | MAE: 8770515.1595 | MSE: 10092100662519.172 | RMSE: 1491.7906 | RSE: 72.9115 | RAE: 23.7452 | Correlation: -0.9165999889373779
INFO:training:Epoch: 26 | Training Loss: 266054.0326219512 | MAE: 8039367.5323 | MSE: 9996522181737.932 | RMSE: 1438.6118 | RSE: 53.1168 | RAE: 17.3106 | Correlation: -0.9154000282287598
INFO:training:Epoch: 27 | Training Loss: 213922.9881097561 | MAE: 7465127.8556 | MSE: 10110560141312.0 | RMSE: 1396.7247 | RSE: 34.3247 | RAE: 11.2845 | Correlation: -0.9143999814987183
INFO:training:Epoch: 28 | Training Loss: 180757.55121951218 | MAE: 7213481.3815 | MSE: 10328125418990.346 | RMSE: 1377.5435 | RSE: 20.1548 | RAE: 7.162 | Correlation: -0.9136000275611877
INFO:training:Epoch: 29 | Training Loss: 165395.87332317073 | MAE: 7124199.3955 | MSE: 10502449126029.242 | RMSE: 1372.8844 | RSE: 12.0176 | RAE: 4.9165 | Correlation: -0.9132000207901001
INFO:training:Epoch: 30 | Training Loss: 164372.7643292683 | MAE: 7102486.4849 | MSE: 10573880301541.518 | RMSE: 1372.4147 | RSE: 8.9689 | RAE: 4.0842 | Correlation: -0.913100004196167
INFO:training:Epoch: 31 | Training Loss: 159213.7611280488 | MAE: 7096025.0205 | MSE: 10576818145796.414 | RMSE: 1372.0865 | RSE: 8.466 | RAE: 3.9462 | Correlation: -0.913100004196167
INFO:training:Epoch: 32 | Training Loss: 160706.5038109756 | MAE: 7092343.549 | MSE: 10558761670188.139 | RMSE: 1371.633 | RSE: 8.7275 | RAE: 4.0149 | Correlation: -0.913100004196167
INFO:training:Epoch: 33 | Training Loss: 157817.45426829267 | MAE: 7087274.7101 | MSE: 10555449652930.207 | RMSE: 1371.3019 | RSE: 8.4886 | RAE: 3.9487 | Correlation: -0.913100004196167
INFO:training:Epoch: 34 | Training Loss: 158435.64344512194 | MAE: 7084055.0431 | MSE: 10531793195776.0 | RMSE: 1370.7914 | RSE: 8.9366 | RAE: 4.0679 | Correlation: -0.9132000207901001
INFO:training:Epoch: 35 | Training Loss: 161135.981097561 | MAE: 7078002.1695 | MSE: 10541388909329.654 | RMSE: 1370.5806 | RSE: 8.2816 | RAE: 3.8893 | Correlation: -0.913100004196167
INFO:training:Epoch: 36 | Training Loss: 161626.2413109756 | MAE: 7078003.5259 | MSE: 10497111634087.725 | RMSE: 1369.9874 | RSE: 9.4821 | RAE: 4.2128 | Correlation: -0.9132000207901001
INFO:training:Epoch: 37 | Training Loss: 157001.85838414636 | MAE: 7075668.7732 | MSE: 10478739567607.172 | RMSE: 1369.6224 | RSE: 9.818 | RAE: 4.3023 | Correlation: -0.9132000207901001
INFO:training:Epoch: 38 | Training Loss: 159261.66097560976 | MAE: 7065795.0843 | MSE: 10499847779650.207 | RMSE: 1369.3113 | RSE: 8.6498 | RAE: 3.9831 | Correlation: -0.9132000207901001
INFO:training:Epoch: 39 | Training Loss: 157684.53536585366 | MAE: 7061959.806 | MSE: 10489552493846.068 | RMSE: 1368.954 | RSE: 8.6824 | RAE: 3.9904 | Correlation: -0.9132000207901001
INFO:training:Epoch: 40 | Training Loss: 158676.7855182927 | MAE: 7058783.3831 | MSE: 10472979116897.104 | RMSE: 1368.5498 | RSE: 8.9303 | RAE: 4.056 | Correlation: -0.9132999777793884
INFO:training:Epoch: 41 | Training Loss: 156602.80243902438 | MAE: 7056464.9337 | MSE: 10452162810288.55 | RMSE: 1368.1448 | RSE: 9.3353 | RAE: 4.1643 | Correlation: -0.9132999777793884
INFO:training:Epoch: 42 | Training Loss: 159926.17271341462 | MAE: 7046818.4359 | MSE: 10477201978103.172 | RMSE: 1367.9244 | RSE: 8.0305 | RAE: 3.8089 | Correlation: -0.9132999777793884
