INFO:training:Epoch: 1 | Training Loss: 2027848.0615384616 | MAE: 42031207.3571 | MSE: 90771853747346.28 | RMSE: 3079.3198 | RSE: 677.4797 | RAE: 246.8801 | Correlation: 0.9283000230789185
INFO:training:Epoch: 2 | Training Loss: 1941605.4974358974 | MAE: 39603758.2857 | MSE: 80826009724050.28 | RMSE: 2989.8766 | RSE: 634.6175 | RAE: 231.3354 | Correlation: 0.9251000285148621
INFO:training:Epoch: 3 | Training Loss: 1821760.482051282 | MAE: 36879406.25 | MSE: 70433172881408.0 | RMSE: 2886.4787 | RSE: 585.8713 | RAE: 213.6505 | Correlation: 0.9203000068664551
INFO:training:Epoch: 4 | Training Loss: 1689116.1256410256 | MAE: 34527193.25 | MSE: 62035625696109.71 | RMSE: 2794.2076 | RSE: 544.664 | RAE: 198.7017 | Correlation: 0.9160000085830688
INFO:training:Epoch: 5 | Training Loss: 1564347.858974359 | MAE: 32119935.75 | MSE: 54041088660041.14 | RMSE: 2696.7591 | RSE: 502.4399 | RAE: 183.3767 | Correlation: 0.9110000133514404
INFO:training:Epoch: 6 | Training Loss: 1425801.9615384615 | MAE: 29310387.7143 | MSE: 45460802914596.57 | RMSE: 2578.5934 | RSE: 452.7667 | RAE: 165.3735 | Correlation: 0.9056000113487244
INFO:training:Epoch: 7 | Training Loss: 1220491.2743589743 | MAE: 23910883.3214 | MSE: 31344010910573.715 | RMSE: 2336.5474 | RSE: 357.3354 | RAE: 130.7442 | Correlation: 0.8873999714851379
INFO:training:Epoch: 8 | Training Loss: 956293.7756410256 | MAE: 19039834.75 | MSE: 21143468731830.855 | RMSE: 2095.4377 | RSE: 271.1312 | RAE: 99.4685 | Correlation: 0.8672999739646912
INFO:training:Epoch: 9 | Training Loss: 703876.2897435897 | MAE: 14673427.1607 | MSE: 14045465449033.143 | RMSE: 1853.3722 | RSE: 193.169 | RAE: 71.1827 | Correlation: 0.8456000089645386
INFO:training:Epoch: 10 | Training Loss: 496321.39166666666 | MAE: 10564900.8393 | MSE: 9209610338304.0 | RMSE: 1596.219 | RSE: 119.1473 | RAE: 44.3347 | Correlation: 0.8222000002861023
INFO:training:Epoch: 11 | Training Loss: 299823.8 | MAE: 6879641.0179 | MSE: 6384705992411.429 | RMSE: 1328.5621 | RSE: 50.4732 | RAE: 19.4685 | Correlation: 0.7973999977111816
INFO:training:Epoch: 12 | Training Loss: 181459.08814102566 | MAE: 4740534.1936 | MSE: 5426370945252.571 | RMSE: 1154.5241 | RSE: 7.3621 | RAE: 3.8921 | Correlation: 0.7809000015258789
INFO:training:Epoch: 13 | Training Loss: 162545.34935897434 | MAE: 4389199.7095 | MSE: 5294979208088.0 | RMSE: 1126.2873 | RSE: 3.2961 | RAE: 2.085 | Correlation: 0.777999997138977
INFO:training:Epoch: 14 | Training Loss: 157143.31169871794 | MAE: 4361372.8147 | MSE: 5265088021330.286 | RMSE: 1124.3587 | RSE: 5.6216 | RAE: 2.7517 | Correlation: 0.7785999774932861
INFO:training:Epoch: 15 | Training Loss: 153681.2233974359 | MAE: 4351255.834 | MSE: 5238117329426.286 | RMSE: 1123.8525 | RSE: 8.0151 | RAE: 3.4789 | Correlation: 0.779699981212616
