INFO:training:Epoch: 1 | Training Loss: 3662725.9384615384 | MAE: 71229178.9286 | MSE: 257776237861741.72 | RMSE: 4003.9081 | RSE: 1216.3141 | RAE: 437.964 | Correlation: 0.9314000010490417
INFO:training:Epoch: 2 | Training Loss: 3564111.230769231 | MAE: 69099097.2143 | MSE: 242837461401600.0 | RMSE: 3944.3643 | RSE: 1180.6319 | RAE: 425.0855 | Correlation: 0.9305999875068665
INFO:training:Epoch: 3 | Training Loss: 3469023.1025641025 | MAE: 67237824.7143 | MSE: 230150869202651.44 | RMSE: 3891.6077 | RSE: 1149.5946 | RAE: 413.8997 | Correlation: 0.9294000267982483
INFO:training:Epoch: 4 | Training Loss: 3380634.8666666667 | MAE: 65537187.6429 | MSE: 218867205182025.16 | RMSE: 3842.8041 | RSE: 1121.0879 | RAE: 403.6203 | Correlation: 0.9276000261306763
INFO:training:Epoch: 5 | Training Loss: 3300796.3076923075 | MAE: 63978139.5714 | MSE: 208786858817243.44 | RMSE: 3797.5722 | RSE: 1095.2935 | RAE: 394.3165 | Correlation: 0.9254000186920166
INFO:training:Epoch: 6 | Training Loss: 3216898.7794871796 | MAE: 62417953.5 | MSE: 198938768141750.84 | RMSE: 3751.7642 | RSE: 1069.3166 | RAE: 384.9491 | Correlation: 0.9229999780654907
INFO:training:Epoch: 7 | Training Loss: 3133714.0615384616 | MAE: 60823555.6429 | MSE: 189123725436050.28 | RMSE: 3704.3736 | RSE: 1042.7416 | RAE: 375.3653 | Correlation: 0.9204999804496765
INFO:training:Epoch: 8 | Training Loss: 3049503.123076923 | MAE: 59189819.0714 | MSE: 179328041390665.16 | RMSE: 3655.1869 | RSE: 1015.5156 | RAE: 365.5457 | Correlation: 0.9176999926567078
INFO:training:Epoch: 9 | Training Loss: 2966428.3846153845 | MAE: 57511427.4286 | MSE: 169541087339666.28 | RMSE: 3603.9722 | RSE: 987.5517 | RAE: 355.4593 | Correlation: 0.9146000146865845
INFO:training:Epoch: 10 | Training Loss: 2880102.564102564 | MAE: 55787659.8571 | MSE: 159782552544402.28 | RMSE: 3550.6312 | RSE: 958.859 | RAE: 345.1084 | Correlation: 0.9110999703407288
INFO:training:Epoch: 11 | Training Loss: 2794481.7384615387 | MAE: 54017102.2143 | MSE: 150067950836589.72 | RMSE: 3495.0238 | RSE: 929.4099 | RAE: 334.483 | Correlation: 0.9071000218391418
INFO:training:Epoch: 12 | Training Loss: 2703257.6358974357 | MAE: 52199250.7143 | MSE: 140419923518610.28 | RMSE: 3437.0316 | RSE: 899.2081 | RAE: 323.5829 | Correlation: 0.9025999903678894
INFO:training:Epoch: 13 | Training Loss: 2610928.076923077 | MAE: 50328010.2857 | MSE: 130833335563995.42 | RMSE: 3376.3377 | RSE: 868.1561 | RAE: 312.3716 | Correlation: 0.8974000215530396
INFO:training:Epoch: 14 | Training Loss: 2517835.369230769 | MAE: 48408235.6429 | MSE: 121354798273097.14 | RMSE: 3312.9172 | RSE: 836.251 | RAE: 300.8544 | Correlation: 0.8914999961853027
INFO:training:Epoch: 15 | Training Loss: 2419188.9179487177 | MAE: 46432766.4286 | MSE: 111975544352182.86 | RMSE: 3246.3463 | RSE: 803.366 | RAE: 288.9869 | Correlation: 0.8845999836921692
INFO:training:Epoch: 16 | Training Loss: 2318188.251282051 | MAE: 44401972.4286 | MSE: 102742151696969.14 | RMSE: 3176.5338 | RSE: 769.5719 | RAE: 276.792 | Correlation: 0.8763999938964844
INFO:training:Epoch: 17 | Training Loss: 2218551.38974359 | MAE: 42319713.5714 | MSE: 93704800436224.0 | RMSE: 3103.4122 | RSE: 734.9261 | RAE: 264.2898 | Correlation: 0.8669000267982483
INFO:training:Epoch: 18 | Training Loss: 2115789.0051282053 | MAE: 40185066.8214 | MSE: 84892459204608.0 | RMSE: 3026.7334 | RSE: 699.4395 | RAE: 251.4832 | Correlation: 0.8557000160217285
INFO:training:Epoch: 19 | Training Loss: 2001516.558974359 | MAE: 37992801.8214 | MSE: 76308127753362.28 | RMSE: 2945.9437 | RSE: 662.9633 | RAE: 238.3193 | Correlation: 0.8424999713897705
INFO:training:Epoch: 20 | Training Loss: 1895277.9076923076 | MAE: 35750241.5357 | MSE: 68008049377280.0 | RMSE: 2860.9025 | RSE: 625.5633 | RAE: 224.8224 | Correlation: 0.8270999789237976
INFO:training:Epoch: 21 | Training Loss: 1781743.2128205127 | MAE: 33467889.0357 | MSE: 60032762960749.71 | RMSE: 2771.2952 | RSE: 587.2567 | RAE: 210.9994 | Correlation: 0.8090999722480774
INFO:training:Epoch: 22 | Training Loss: 1661906.3384615385 | MAE: 31140013.8571 | MSE: 52393392996352.0 | RMSE: 2676.3709 | RSE: 547.9159 | RAE: 196.8035 | Correlation: 0.7872999906539917
INFO:training:Epoch: 23 | Training Loss: 1548015.5564102563 | MAE: 28772825.1786 | MSE: 45172526340973.71 | RMSE: 2576.1711 | RSE: 507.7439 | RAE: 182.3083 | Correlation: 0.7616999745368958
INFO:training:Epoch: 24 | Training Loss: 1417936.6435897436 | MAE: 26351505.6786 | MSE: 38380137330395.43 | RMSE: 2469.7092 | RSE: 466.5492 | RAE: 167.4445 | Correlation: 0.7319999933242798
INFO:training:Epoch: 25 | Training Loss: 1301447.023076923 | MAE: 23892786.4286 | MSE: 32070759780937.145 | RMSE: 2356.4867 | RSE: 424.4172 | RAE: 152.2439 | Correlation: 0.6970000267028809
INFO:training:Epoch: 26 | Training Loss: 1173491.6564102564 | MAE: 21389079.3214 | MSE: 26289442127872.0 | RMSE: 2235.7567 | RSE: 381.3365 | RAE: 136.7017 | Correlation: 0.6564000248908997
INFO:training:Epoch: 27 | Training Loss: 1040168.082051282 | MAE: 18843128.375 | MSE: 21073344631369.145 | RMSE: 2106.446 | RSE: 337.2401 | RAE: 120.7943 | Correlation: 0.6096000075340271
INFO:training:Epoch: 28 | Training Loss: 910141.4346153847 | MAE: 16288308.875 | MSE: 16482405988059.428 | RMSE: 1967.9557 | RSE: 292.246 | RAE: 104.5665 | Correlation: 0.5547999739646912
INFO:training:Epoch: 29 | Training Loss: 771825.0602564103 | MAE: 13722768.2321 | MSE: 12556526443373.715 | RMSE: 1819.2967 | RSE: 246.2837 | RAE: 87.9935 | Correlation: 0.49129998683929443
INFO:training:Epoch: 30 | Training Loss: 633422.4307692308 | MAE: 11213639.625 | MSE: 9360084877312.0 | RMSE: 1661.2005 | RSE: 199.5989 | RAE: 71.1707 | Correlation: 0.41749998927116394
INFO:training:Epoch: 31 | Training Loss: 497550.4737179487 | MAE: 8850960.2679 | MSE: 6957474654793.143 | RMSE: 1498.2256 | RSE: 152.8122 | RAE: 54.3389 | Correlation: 0.33379998803138733
INFO:training:Epoch: 32 | Training Loss: 374866.1737179487 | MAE: 6809489.0714 | MSE: 5377234558976.0 | RMSE: 1339.6744 | RSE: 106.8657 | RAE: 37.8786 | Correlation: 0.24619999527931213
INFO:training:Epoch: 33 | Training Loss: 257353.84551282052 | MAE: 5285309.7321 | MSE: 4626860040777.143 | RMSE: 1207.5463 | RSE: 66.7137 | RAE: 23.5732 | Correlation: 0.1746000051498413
INFO:training:Epoch: 34 | Training Loss: 187710.95576923076 | MAE: 4435677.5 | MSE: 4451448273261.714 | RMSE: 1130.2547 | RSE: 39.563 | RAE: 13.9718 | Correlation: 0.13179999589920044
INFO:training:Epoch: 35 | Training Loss: 185385.9016025641 | MAE: 4095867.6747 | MSE: 4464858204420.571 | RMSE: 1099.0026 | RSE: 25.4033 | RAE: 9.0474 | Correlation: 0.1160999983549118
INFO:training:Epoch: 36 | Training Loss: 172754.56794871794 | MAE: 4019639.1551 | MSE: 4485415280329.143 | RMSE: 1091.0579 | RSE: 20.1709 | RAE: 7.3182 | Correlation: 0.11569999903440475
INFO:training:Epoch: 37 | Training Loss: 172259.53878205127 | MAE: 4004137.6763 | MSE: 4488151160228.571 | RMSE: 1089.4674 | RSE: 19.0778 | RAE: 6.9638 | Correlation: 0.12229999899864197
INFO:training:Epoch: 38 | Training Loss: 173765.15560897437 | MAE: 3999531.4191 | MSE: 4485615449828.571 | RMSE: 1089.0599 | RSE: 18.9919 | RAE: 6.9354 | Correlation: 0.13009999692440033
INFO:training:Epoch: 39 | Training Loss: 167054.40528846154 | MAE: 3975814.1004 | MSE: 4494168658980.571 | RMSE: 1086.6121 | RSE: 16.9776 | RAE: 6.2844 | Correlation: 0.13750000298023224
INFO:training:Epoch: 40 | Training Loss: 169675.25961538462 | MAE: 3948868.702 | MSE: 4514959216877.714 | RMSE: 1083.7092 | RSE: 13.6369 | RAE: 5.2118 | Correlation: 0.14069999754428864
INFO:training:Epoch: 41 | Training Loss: 167398.02884615384 | MAE: 3970065.481 | MSE: 4484508240173.714 | RMSE: 1086.2246 | RSE: 17.3674 | RAE: 6.4083 | Correlation: 0.15919999778270721
INFO:training:Epoch: 42 | Training Loss: 167290.22051282052 | MAE: 3942178.2985 | MSE: 4502464124635.429 | RMSE: 1083.1907 | RSE: 14.1545 | RAE: 5.3755 | Correlation: 0.16220000386238098
INFO:training:Epoch: 43 | Training Loss: 164417.66618589743 | MAE: 3944608.9369 | MSE: 4489968689517.714 | RMSE: 1083.5946 | RSE: 15.3021 | RAE: 5.7426 | Correlation: 0.17499999701976776
