INFO:training:Epoch: 1 | Training Loss: 1836073.845 | MAE: 37380045.2857 | MSE: 72279605641216.0 | RMSE: 2905.9397 | RSE: 486.6888 | RAE: 162.6013 | Correlation: 0.9309999942779541
INFO:training:Epoch: 2 | Training Loss: 1701213.86 | MAE: 34890478.6786 | MSE: 63242233259154.29 | RMSE: 2808.6424 | RSE: 452.1756 | RAE: 151.0818 | Correlation: 0.9305999875068665
INFO:training:Epoch: 3 | Training Loss: 1562255.0125 | MAE: 31886282.25 | MSE: 53249670531364.57 | RMSE: 2686.9011 | RSE: 409.0862 | RAE: 136.748 | Correlation: 0.9301999807357788
INFO:training:Epoch: 4 | Training Loss: 1406888.37 | MAE: 28796399.1071 | MSE: 43944586884827.43 | RMSE: 2556.0916 | RSE: 365.0725 | RAE: 122.1009 | Correlation: 0.9298999905586243
INFO:training:Epoch: 5 | Training Loss: 1247397.3125 | MAE: 25547368.7143 | MSE: 35227713517275.43 | RMSE: 2411.3008 | RSE: 318.6719 | RAE: 106.6562 | Correlation: 0.9296000003814697
INFO:training:Epoch: 6 | Training Loss: 1082113.8725 | MAE: 22321996.6429 | MSE: 27659816402944.0 | RMSE: 2258.9786 | RSE: 272.5035 | RAE: 91.289 | Correlation: 0.9291999936103821
INFO:training:Epoch: 7 | Training Loss: 918322.76625 | MAE: 19157091.5357 | MSE: 21296303271350.855 | RMSE: 2099.7673 | RSE: 227.229 | RAE: 76.2123 | Correlation: 0.9286999702453613
INFO:training:Epoch: 8 | Training Loss: 756942.70125 | MAE: 16049597.4643 | MSE: 16039501636754.285 | RMSE: 1930.5102 | RSE: 182.1298 | RAE: 61.2054 | Correlation: 0.9280999898910522
INFO:training:Epoch: 9 | Training Loss: 593020.6825 | MAE: 12955320.3393 | MSE: 11850566111817.143 | RMSE: 1748.0831 | RSE: 137.0353 | RAE: 46.2015 | Correlation: 0.9275000095367432
INFO:training:Epoch: 10 | Training Loss: 436882.826875 | MAE: 9872746.5 | MSE: 8702109569609.143 | RMSE: 1547.7493 | RSE: 91.4608 | RAE: 31.0488 | Correlation: 0.926800012588501
INFO:training:Epoch: 11 | Training Loss: 284704.28375 | MAE: 6989835.7991 | MSE: 6695679923931.429 | RMSE: 1337.9482 | RSE: 47.3968 | RAE: 16.4352 | Correlation: 0.9261000156402588
INFO:training:Epoch: 12 | Training Loss: 169841.4553125 | MAE: 4861666.74 | MSE: 5829587545014.857 | RMSE: 1169.104 | RSE: 12.4045 | RAE: 4.8948 | Correlation: 0.925599992275238
INFO:training:Epoch: 13 | Training Loss: 137152.24296875 | MAE: 4225585.8617 | MSE: 5671928871113.714 | RMSE: 1121.3984 | RSE: 1.5061 | RAE: 1.2514 | Correlation: 0.9254000186920166
INFO:training:Epoch: 14 | Training Loss: 134201.99296875 | MAE: 4202158.9872 | MSE: 5647471111122.286 | RMSE: 1120.3893 | RSE: 4.101 | RAE: 1.9339 | Correlation: 0.9253000020980835
INFO:training:Epoch: 15 | Training Loss: 134381.97953125 | MAE: 4206515.4967 | MSE: 5662037337011.429 | RMSE: 1120.3421 | RSE: 2.2434 | RAE: 1.4436 | Correlation: 0.9253000020980835
INFO:training:Epoch: 16 | Training Loss: 130474.07046875 | MAE: 4203445.591 | MSE: 5661729193852.571 | RMSE: 1120.1805 | RSE: 2.2752 | RAE: 1.4507 | Correlation: 0.9253000020980835
INFO:training:Epoch: 17 | Training Loss: 130355.13921875 | MAE: 4197415.0419 | MSE: 5656689392426.286 | RMSE: 1119.886 | RSE: 2.7668 | RAE: 1.578 | Correlation: 0.9253000020980835
INFO:training:Epoch: 18 | Training Loss: 134873.133125 | MAE: 4195226.4685 | MSE: 5648691580532.571 | RMSE: 1119.9595 | RSE: 3.86 | RAE: 1.8682 | Correlation: 0.9253000020980835
INFO:training:Epoch: 19 | Training Loss: 131825.66078125 | MAE: 4220376.3193 | MSE: 5673562203952.143 | RMSE: 1121.1364 | RSE: 1.3679 | RAE: 1.1966 | Correlation: 0.9253000020980835
INFO:training:Epoch: 20 | Training Loss: 131007.906875 | MAE: 4197509.5084 | MSE: 5660984209400.0 | RMSE: 1119.8528 | RSE: 2.3198 | RAE: 1.4603 | Correlation: 0.9253000020980835
INFO:training:Epoch: 21 | Training Loss: 134318.56484375 | MAE: 4193265.9114 | MSE: 5657819525892.571 | RMSE: 1119.6472 | RSE: 2.6724 | RAE: 1.5519 | Correlation: 0.9253000020980835
INFO:training:Epoch: 22 | Training Loss: 133036.99859375 | MAE: 4192233.0472 | MSE: 5641038845138.286 | RMSE: 1120.06 | RSE: 4.8138 | RAE: 2.1225 | Correlation: 0.9251999855041504
INFO:training:Epoch: 23 | Training Loss: 131683.9940625 | MAE: 4187546.2536 | MSE: 5643413126514.286 | RMSE: 1119.6514 | RSE: 4.3508 | RAE: 1.9978 | Correlation: 0.9251999855041504
INFO:training:Epoch: 24 | Training Loss: 133107.36828125 | MAE: 4195094.6611 | MSE: 5663317629454.857 | RMSE: 1119.6546 | RSE: 1.8681 | RAE: 1.3437 | Correlation: 0.9251999855041504
INFO:training:Epoch: 25 | Training Loss: 136480.5534375 | MAE: 4186292.7467 | MSE: 5643245333398.857 | RMSE: 1119.538 | RSE: 4.2621 | RAE: 1.9744 | Correlation: 0.9251999855041504
INFO:training:Epoch: 26 | Training Loss: 128129.5953125 | MAE: 4187653.2623 | MSE: 5657817054429.714 | RMSE: 1119.2593 | RSE: 2.3408 | RAE: 1.4635 | Correlation: 0.9251999855041504
INFO:training:Epoch: 27 | Training Loss: 132477.80921875 | MAE: 4182735.4248 | MSE: 5651104720148.571 | RMSE: 1119.0743 | RSE: 3.0963 | RAE: 1.6631 | Correlation: 0.9251999855041504
INFO:training:Epoch: 28 | Training Loss: 132619.78640625 | MAE: 4182337.5025 | MSE: 5652880798882.286 | RMSE: 1119.0007 | RSE: 2.8092 | RAE: 1.5869 | Correlation: 0.9251999855041504
INFO:training:Epoch: 29 | Training Loss: 133984.33859375 | MAE: 4179080.156 | MSE: 5646719231341.714 | RMSE: 1118.9573 | RSE: 3.5793 | RAE: 1.7914 | Correlation: 0.9251000285148621
INFO:training:Epoch: 30 | Training Loss: 131184.05390625 | MAE: 4177404.9537 | MSE: 5640445194153.143 | RMSE: 1119.1066 | RSE: 4.4309 | RAE: 2.0174 | Correlation: 0.925000011920929
INFO:training:Epoch: 31 | Training Loss: 134511.7975 | MAE: 4173132.2881 | MSE: 5650258132633.143 | RMSE: 1118.5638 | RSE: 3.116 | RAE: 1.6651 | Correlation: 0.925000011920929
INFO:training:Epoch: 32 | Training Loss: 128985.59546875 | MAE: 4177330.0314 | MSE: 5658245096800.0 | RMSE: 1118.6638 | RSE: 2.1425 | RAE: 1.4087 | Correlation: 0.925000011920929
INFO:training:Epoch: 33 | Training Loss: 132769.03953125 | MAE: 4170167.9448 | MSE: 5643854454806.857 | RMSE: 1118.5444 | RSE: 3.8671 | RAE: 1.8645 | Correlation: 0.925000011920929
INFO:training:Epoch: 34 | Training Loss: 135136.2078125 | MAE: 4168781.5315 | MSE: 5644117506635.429 | RMSE: 1118.4405 | RSE: 3.788 | RAE: 1.8428 | Correlation: 0.925000011920929
INFO:training:Epoch: 35 | Training Loss: 133404.62359375 | MAE: 4168875.4494 | MSE: 5653630555554.286 | RMSE: 1118.2174 | RSE: 2.5338 | RAE: 1.5082 | Correlation: 0.925000011920929
