INFO:training:Epoch: 1 | Training Loss: 251551.1920911815 | MAE: 799938.3035 | MSE: 1221784116250.5579 | RMSE: 680.0435 | RSE: 35.3235 | RAE: 11.2982 | Correlation: 0.9057000279426575
INFO:training:Epoch: 2 | Training Loss: 130002.84986087329 | MAE: 801569.347 | MSE: 1124439152543.1292 | RMSE: 678.6345 | RSE: 57.1095 | RAE: 17.2426 | Correlation: 0.9139999747276306
INFO:training:Epoch: 3 | Training Loss: 123510.56118498501 | MAE: 1147871.8442 | MSE: 1258333379921.415 | RMSE: 791.3409 | RSE: 130.2927 | RAE: 39.6274 | Correlation: 0.9003999829292297
INFO:training:Epoch: 4 | Training Loss: 136912.19703553081 | MAE: 851274.6673 | MSE: 1284875492592.653 | RMSE: 697.8359 | RSE: 46.4334 | RAE: 14.5903 | Correlation: 0.9125999808311462
INFO:training:Epoch: 5 | Training Loss: 129125.89448309076 | MAE: 744144.7913 | MSE: 1203376134798.238 | RMSE: 657.3294 | RSE: 6.2359 | RAE: 3.0417 | Correlation: 0.9203000068664551
INFO:training:Epoch: 6 | Training Loss: 120245.05051637415 | MAE: 910537.9749 | MSE: 1306576168110.1497 | RMSE: 713.3331 | RSE: 53.8858 | RAE: 16.796 | Correlation: 0.9178000092506409
INFO:training:Epoch: 7 | Training Loss: 117708.68867455052 | MAE: 773404.7107 | MSE: 1199247572418.4219 | RMSE: 665.7171 | RSE: 11.853 | RAE: 4.7841 | Correlation: 0.9156000018119812
INFO:training:Epoch: 8 | Training Loss: 112247.91996468321 | MAE: 783682.3557 | MSE: 1279320798230.9387 | RMSE: 670.0496 | RSE: 12.9941 | RAE: 4.789 | Correlation: 0.9083999991416931
INFO:training:Epoch: 9 | Training Loss: 115354.19780875428 | MAE: 865966.0377 | MSE: 1248514213730.3945 | RMSE: 697.7797 | RSE: 42.3565 | RAE: 13.5241 | Correlation: 0.895799994468689
INFO:training:Epoch: 10 | Training Loss: 117304.79021029538 | MAE: 1000313.5157 | MSE: 1279878817896.4897 | RMSE: 743.3686 | RSE: 84.2284 | RAE: 25.826 | Correlation: 0.8978999853134155
INFO:training:Epoch: 11 | Training Loss: 125038.3797838185 | MAE: 991835.5533 | MSE: 1211211224173.7144 | RMSE: 743.4321 | RSE: 121.7424 | RAE: 36.2476 | Correlation: 0.8946999907493591
INFO:training:Epoch: 12 | Training Loss: 104435.08145333904 | MAE: 769771.9026 | MSE: 1186796910892.9116 | RMSE: 662.7814 | RSE: 9.7129 | RAE: 3.8827 | Correlation: 0.8917999863624573
