INFO:training:Epoch: 1 | Training Loss: 953300.3732501308 | MAE: 1059068.9925 | MSE: 1296590789607.5103 | RMSE: 764.8827 | RSE: 36.2616 | RAE: 11.4469 | Correlation: -0.9315999746322632
INFO:training:Epoch: 2 | Training Loss: 107829.23965030652 | MAE: 1013494.1522 | MSE: 1255240785842.2498 | RMSE: 750.2144 | RSE: 4.6626 | RAE: 3.2046 | Correlation: 0.9315999746322632
INFO:training:Epoch: 3 | Training Loss: 102743.49889727871 | MAE: 963982.9964 | MSE: 1186899842685.034 | RMSE: 733.1147 | RSE: 11.4962 | RAE: 4.8484 | Correlation: 0.9315999746322632
INFO:training:Epoch: 4 | Training Loss: 101088.66441294109 | MAE: 933074.6686 | MSE: 1146370153078.068 | RMSE: 721.9883 | RSE: 11.1911 | RAE: 4.6974 | Correlation: 0.9315999746322632
INFO:training:Epoch: 5 | Training Loss: 97780.24539637224 | MAE: 912273.0221 | MSE: 1105390350285.034 | RMSE: 714.2424 | RSE: 30.0393 | RAE: 9.4622 | Correlation: 0.9315999746322632
INFO:training:Epoch: 6 | Training Loss: 92740.74129504336 | MAE: 889907.2892 | MSE: 1102475769101.2478 | RMSE: 706.1521 | RSE: 6.145 | RAE: 3.3572 | Correlation: 0.9315999746322632
INFO:training:Epoch: 7 | Training Loss: 91095.99180668735 | MAE: 889376.4477 | MSE: 1070500114792.1088 | RMSE: 705.6319 | RSE: 44.9203 | RAE: 13.4666 | Correlation: 0.9315999746322632
INFO:training:Epoch: 8 | Training Loss: 90105.55238627018 | MAE: 859227.8981 | MSE: 1082637675802.2177 | RMSE: 694.9478 | RSE: 8.892 | RAE: 3.938 | Correlation: 0.9315999746322632
INFO:training:Epoch: 9 | Training Loss: 88818.35110926286 | MAE: 848438.1904 | MSE: 1079727572544.3876 | RMSE: 691.1549 | RSE: 9.3218 | RAE: 4.0132 | Correlation: 0.9315999746322632
INFO:training:Epoch: 10 | Training Loss: 89307.83575059808 | MAE: 841237.2335 | MSE: 1072319698693.0884 | RMSE: 688.5404 | RSE: 23.3842 | RAE: 7.557 | Correlation: 0.9315999746322632
INFO:training:Epoch: 11 | Training Loss: 87184.41610206713 | MAE: 832529.5019 | MSE: 1082149439110.7686 | RMSE: 685.417 | RSE: 7.7668 | RAE: 3.5894 | Correlation: 0.9315999746322632
