INFO:training:Epoch: 1 | Training Loss: 7504681.544642857 | MAE: 7435677.9852 | MSE: 11982464957006.102 | RMSE: 1610.0244 | RSE: 10.5069 | RAE: 6.8495 | Correlation: 0.7706000208854675
INFO:training:Epoch: 2 | Training Loss: 2691816.9553571427 | MAE: 4694164.8951 | MSE: 6412332750119.051 | RMSE: 1331.8021 | RSE: 10.8335 | RAE: 5.2493 | Correlation: 0.7810999751091003
INFO:training:Epoch: 3 | Training Loss: 2651031.8020833335 | MAE: 5299356.7288 | MSE: 7776282287711.458 | RMSE: 1421.6626 | RSE: 20.6045 | RAE: 9.5254 | Correlation: 0.781499981880188
INFO:training:Epoch: 4 | Training Loss: 3016447.464285714 | MAE: 6063097.474 | MSE: 9191393341197.018 | RMSE: 1480.1201 | RSE: 13.2425 | RAE: 6.6861 | Correlation: 0.7858999967575073
INFO:training:Epoch: 5 | Training Loss: 1882639.261904762 | MAE: 5150979.3697 | MSE: 7518757414669.016 | RMSE: 1388.8221 | RSE: 14.3079 | RAE: 6.0457 | Correlation: 0.7893000245094299
INFO:training:Epoch: 6 | Training Loss: 1876744.9032738095 | MAE: 4626244.7733 | MSE: 6819515437194.848 | RMSE: 1338.228 | RSE: 8.8756 | RAE: 4.8312 | Correlation: 0.7900000214576721
INFO:training:Epoch: 7 | Training Loss: 1978757.6264880951 | MAE: 6282180.0159 | MSE: 10034332161666.17 | RMSE: 1505.1603 | RSE: 20.7048 | RAE: 8.443 | Correlation: 0.7874000072479248
INFO:training:Epoch: 8 | Training Loss: 1589295.8601190476 | MAE: 5124512.8581 | MSE: 8029024231632.272 | RMSE: 1392.142 | RSE: 14.2856 | RAE: 5.3815 | Correlation: 0.7886999845504761
INFO:training:Epoch: 9 | Training Loss: 1554374.5483630951 | MAE: 6493005.1536 | MSE: 10420042619747.797 | RMSE: 1525.5838 | RSE: 26.3094 | RAE: 10.0261 | Correlation: 0.7864000201225281
INFO:training:Epoch: 10 | Training Loss: 1665230.050595238 | MAE: 4474329.5392 | MSE: 7016712275516.746 | RMSE: 1326.7689 | RSE: 10.0943 | RAE: 4.8625 | Correlation: 0.791100025177002
INFO:training:Epoch: 11 | Training Loss: 1680284.6339285714 | MAE: 5566400.1886 | MSE: 8897377585950.373 | RMSE: 1437.3409 | RSE: 18.2768 | RAE: 6.7283 | Correlation: 0.7861999869346619
INFO:training:Epoch: 12 | Training Loss: 1583157.466517857 | MAE: 4264729.6054 | MSE: 6641490292354.17 | RMSE: 1300.6673 | RSE: 8.3685 | RAE: 4.0674 | Correlation: 0.7886000275611877
INFO:training:Epoch: 13 | Training Loss: 1744651.15625 | MAE: 5136918.224 | MSE: 8345245788806.509 | RMSE: 1393.7333 | RSE: 16.2447 | RAE: 5.632 | Correlation: 0.7885000109672546
INFO:training:Epoch: 14 | Training Loss: 1412094.5610119049 | MAE: 4739886.7373 | MSE: 7627337179066.576 | RMSE: 1355.5116 | RSE: 11.5947 | RAE: 5.2131 | Correlation: 0.7886999845504761
INFO:training:Epoch: 15 | Training Loss: 1301949.5379464286 | MAE: 5147932.0037 | MSE: 8307306723883.391 | RMSE: 1394.8924 | RSE: 17.8374 | RAE: 6.1467 | Correlation: 0.7878000140190125
INFO:training:Epoch: 16 | Training Loss: 1516255.224702381 | MAE: 5105291.6758 | MSE: 8307145823874.17 | RMSE: 1395.803 | RSE: 13.5059 | RAE: 5.7255 | Correlation: 0.7857999801635742
