INFO:training:Epoch: 1 | Training Loss: 2465324.7508844337 | MAE: 1937456.6147 | MSE: 3193157566986.449 | RMSE: 1030.689 | RSE: 34.7378 | RAE: 10.8722 | Correlation: 0.7976999878883362
INFO:training:Epoch: 2 | Training Loss: 1232064.2423349055 | MAE: 1950125.7871 | MSE: 2837859150785.306 | RMSE: 1031.6694 | RSE: 18.9111 | RAE: 10.8728 | Correlation: 0.7985000014305115
INFO:training:Epoch: 3 | Training Loss: 862104.874115566 | MAE: 2025602.789 | MSE: 3062243437609.796 | RMSE: 1048.3919 | RSE: 38.6681 | RAE: 13.4074 | Correlation: 0.7961999773979187
INFO:training:Epoch: 4 | Training Loss: 864239.836821934 | MAE: 1838026.117 | MSE: 2679028040680.4897 | RMSE: 1002.2647 | RSE: 16.632 | RAE: 9.1434 | Correlation: 0.7965999841690063
INFO:training:Epoch: 5 | Training Loss: 911973.1995135613 | MAE: 1720334.9809 | MSE: 2741322039811.483 | RMSE: 976.0432 | RSE: 19.4698 | RAE: 7.5228 | Correlation: 0.7960000038146973
INFO:training:Epoch: 6 | Training Loss: 752024.6379716981 | MAE: 2143476.8993 | MSE: 3430295193948.952 | RMSE: 1074.8733 | RSE: 40.899 | RAE: 11.4337 | Correlation: 0.7932000160217285
INFO:training:Epoch: 7 | Training Loss: 783058.0916863207 | MAE: 1915026.1741 | MSE: 3142282614232.381 | RMSE: 1025.0507 | RSE: 29.7219 | RAE: 9.218 | Correlation: 0.7942000031471252
INFO:training:Epoch: 8 | Training Loss: 759747.9684551887 | MAE: 2527483.4165 | MSE: 3769962066853.4424 | RMSE: 1158.5065 | RSE: 48.8337 | RAE: 17.6909 | Correlation: 0.7936999797821045
INFO:training:Epoch: 9 | Training Loss: 764416.1008254717 | MAE: 2334356.6108 | MSE: 3756459778372.7886 | RMSE: 1117.1873 | RSE: 44.7989 | RAE: 13.4151 | Correlation: 0.791700005531311
INFO:training:Epoch: 10 | Training Loss: 721227.601120283 | MAE: 2206170.1654 | MSE: 3309226291792.109 | RMSE: 1088.0727 | RSE: 40.0218 | RAE: 13.7401 | Correlation: 0.7932999730110168
INFO:training:Epoch: 11 | Training Loss: 659208.362396816 | MAE: 1893578.1941 | MSE: 2978747467952.7617 | RMSE: 1018.1262 | RSE: 28.407 | RAE: 8.9946 | Correlation: 0.7947999835014343
INFO:training:Epoch: 12 | Training Loss: 680015.8848761793 | MAE: 2163203.6095 | MSE: 3571425421411.265 | RMSE: 1081.2836 | RSE: 37.7229 | RAE: 10.6792 | Correlation: 0.7918000221252441
INFO:training:Epoch: 13 | Training Loss: 690875.9504716981 | MAE: 2144065.463 | MSE: 3425229486285.4966 | RMSE: 1075.1632 | RSE: 41.2349 | RAE: 11.9301 | Correlation: 0.7928000092506409
INFO:training:Epoch: 14 | Training Loss: 590576.1285377359 | MAE: 2241170.321 | MSE: 3492166948313.687 | RMSE: 1096.9828 | RSE: 40.697 | RAE: 13.0187 | Correlation: 0.7936999797821045
INFO:training:Epoch: 15 | Training Loss: 619094.6638413916 | MAE: 2014891.1495 | MSE: 3214409641567.782 | RMSE: 1045.5225 | RSE: 37.3392 | RAE: 10.0586 | Correlation: 0.7937999963760376
INFO:training:Epoch: 16 | Training Loss: 602917.4829009434 | MAE: 2017369.467 | MSE: 3363664587284.4624 | RMSE: 1048.1605 | RSE: 35.0286 | RAE: 9.6719 | Correlation: 0.7919999957084656
INFO:training:Epoch: 17 | Training Loss: 643520.4208431604 | MAE: 2173804.8751 | MSE: 3554859140416.0 | RMSE: 1081.8315 | RSE: 38.95 | RAE: 10.5371 | Correlation: 0.7912999987602234
INFO:training:Epoch: 18 | Training Loss: 698438.2010613207 | MAE: 1873148.5167 | MSE: 2855040352464.9795 | RMSE: 1013.4657 | RSE: 23.4374 | RAE: 9.3626 | Correlation: 0.7925999760627747
INFO:training:Epoch: 19 | Training Loss: 611619.9795106133 | MAE: 2061399.025 | MSE: 3231715268514.068 | RMSE: 1056.4911 | RSE: 35.4075 | RAE: 9.5987 | Correlation: 0.7922000288963318
INFO:training:Epoch: 20 | Training Loss: 602377.1652417453 | MAE: 2096699.4552 | MSE: 3487175530515.2925 | RMSE: 1066.3591 | RSE: 40.5726 | RAE: 10.3102 | Correlation: 0.7908999919891357
