INFO:training:Epoch: 1 | Training Loss: 1986444.0586674528 | MAE: 2090211.3684 | MSE: 3001860448726.6396 | RMSE: 1070.9139 | RSE: 6.8421 | RAE: 4.7428 | Correlation: -0.3521000146865845
INFO:training:Epoch: 2 | Training Loss: 1193320.6304540094 | MAE: 2532180.8255 | MSE: 3302525048755.374 | RMSE: 1163.767 | RSE: 31.536 | RAE: 16.0609 | Correlation: 0.7206000089645386
INFO:training:Epoch: 3 | Training Loss: 887134.3374115566 | MAE: 1790585.7096 | MSE: 2374139667673.687 | RMSE: 995.6241 | RSE: 13.3981 | RAE: 7.397 | Correlation: 0.7839999794960022
INFO:training:Epoch: 4 | Training Loss: 887317.6044369104 | MAE: 2343364.4651 | MSE: 3527616585674.449 | RMSE: 1122.2209 | RSE: 33.349 | RAE: 11.0516 | Correlation: 0.7770000100135803
INFO:training:Epoch: 5 | Training Loss: 820489.631043632 | MAE: 1958519.5663 | MSE: 2911541728555.5376 | RMSE: 1033.8747 | RSE: 19.0933 | RAE: 8.3987 | Correlation: 0.7831000089645386
INFO:training:Epoch: 6 | Training Loss: 731370.7728478773 | MAE: 2195596.9484 | MSE: 3630692848851.8096 | RMSE: 1091.2861 | RSE: 34.728 | RAE: 10.4707 | Correlation: 0.7821999788284302
INFO:training:Epoch: 7 | Training Loss: 676074.2740271227 | MAE: 1973045.7526 | MSE: 3165263365006.694 | RMSE: 1040.9469 | RSE: 34.7655 | RAE: 9.9055 | Correlation: 0.7847999930381775
INFO:training:Epoch: 8 | Training Loss: 663643.3937205189 | MAE: 1810006.1349 | MSE: 2927872377570.939 | RMSE: 1001.8677 | RSE: 28.9561 | RAE: 8.2568 | Correlation: 0.7875000238418579
INFO:training:Epoch: 9 | Training Loss: 684562.9662441037 | MAE: 1859557.277 | MSE: 3096533340650.2314 | RMSE: 1014.1824 | RSE: 24.1592 | RAE: 7.1386 | Correlation: 0.7871000170707703
INFO:training:Epoch: 10 | Training Loss: 668030.61328125 | MAE: 1978443.1565 | MSE: 3318571757703.4014 | RMSE: 1043.1877 | RSE: 33.3173 | RAE: 9.0901 | Correlation: 0.7876999974250793
INFO:training:Epoch: 11 | Training Loss: 699331.3920990566 | MAE: 1982830.6849 | MSE: 3159542086851.1562 | RMSE: 1042.9846 | RSE: 34.7493 | RAE: 9.9527 | Correlation: 0.7892000079154968
INFO:training:Epoch: 12 | Training Loss: 599645.2026090802 | MAE: 1879966.9081 | MSE: 3045519703363.265 | RMSE: 1020.8359 | RSE: 35.1715 | RAE: 9.261 | Correlation: 0.7889000177383423
INFO:training:Epoch: 13 | Training Loss: 586849.998231132 | MAE: 1847179.4783 | MSE: 2942349135428.789 | RMSE: 1010.6283 | RSE: 23.1788 | RAE: 7.9232 | Correlation: 0.7896000146865845
INFO:training:Epoch: 14 | Training Loss: 553640.5350825472 | MAE: 2159821.8115 | MSE: 3572558739250.5034 | RMSE: 1083.884 | RSE: 47.15 | RAE: 13.943 | Correlation: 0.7875999808311462
INFO:training:Epoch: 15 | Training Loss: 588373.2270784198 | MAE: 1899607.2766 | MSE: 3091093903078.7485 | RMSE: 1023.7522 | RSE: 37.135 | RAE: 9.8921 | Correlation: 0.7903000116348267
INFO:training:Epoch: 16 | Training Loss: 621218.2611291273 | MAE: 1814177.7437 | MSE: 2860610365894.531 | RMSE: 1003.6334 | RSE: 35.1792 | RAE: 9.5848 | Correlation: 0.7915999889373779
INFO:training:Epoch: 17 | Training Loss: 623573.0610259434 | MAE: 2508771.8702 | MSE: 4091382891645.388 | RMSE: 1157.4736 | RSE: 52.6591 | RAE: 16.0348 | Correlation: 0.7882999777793884
INFO:training:Epoch: 18 | Training Loss: 520881.36895636795 | MAE: 1958345.8072 | MSE: 3153035406604.1904 | RMSE: 1038.4404 | RSE: 36.6918 | RAE: 10.7066 | Correlation: 0.7906000018119812
INFO:training:Epoch: 19 | Training Loss: 565210.104142099 | MAE: 1882113.0315 | MSE: 3062559057706.6665 | RMSE: 1021.4084 | RSE: 37.4638 | RAE: 10.5628 | Correlation: 0.7912999987602234
INFO:training:Epoch: 20 | Training Loss: 529709.6832252359 | MAE: 2065040.1421 | MSE: 3201314052069.007 | RMSE: 1061.0627 | RSE: 45.7794 | RAE: 12.5366 | Correlation: 0.7918000221252441
INFO:training:Epoch: 21 | Training Loss: 515365.41074587265 | MAE: 1908335.5004 | MSE: 3001965138392.163 | RMSE: 1027.1857 | RSE: 41.7663 | RAE: 11.15 | Correlation: 0.7918000221252441
INFO:training:Epoch: 22 | Training Loss: 544687.8097729953 | MAE: 2084820.4243 | MSE: 3359003687761.85 | RMSE: 1067.9582 | RSE: 51.2092 | RAE: 14.4541 | Correlation: 0.7901999950408936
INFO:training:Epoch: 23 | Training Loss: 513869.788620283 | MAE: 1914082.8384 | MSE: 3048817145072.9795 | RMSE: 1028.7725 | RSE: 40.5793 | RAE: 10.8903 | Correlation: 0.7918000221252441
INFO:training:Epoch: 24 | Training Loss: 543800.2984227594 | MAE: 2140646.3357 | MSE: 3273536012979.374 | RMSE: 1079.3003 | RSE: 60.2693 | RAE: 16.1451 | Correlation: 0.791700005531311
INFO:training:Epoch: 25 | Training Loss: 517349.5990566038 | MAE: 1960464.2804 | MSE: 3043110107759.2383 | RMSE: 1039.415 | RSE: 43.5644 | RAE: 11.6903 | Correlation: 0.791700005531311
INFO:training:Epoch: 26 | Training Loss: 491281.3318101415 | MAE: 2112989.1348 | MSE: 3345222027829.9863 | RMSE: 1075.1292 | RSE: 59.9164 | RAE: 15.5418 | Correlation: 0.7907000184059143
INFO:training:Epoch: 27 | Training Loss: 533450.751768868 | MAE: 1956675.8387 | MSE: 3063208226702.8027 | RMSE: 1039.106 | RSE: 37.0259 | RAE: 11.8456 | Correlation: 0.7904000282287598
INFO:training:Epoch: 28 | Training Loss: 502152.5014003538 | MAE: 1855948.0666 | MSE: 2872551213291.102 | RMSE: 1016.1463 | RSE: 38.8255 | RAE: 10.4546 | Correlation: 0.7924000024795532
INFO:training:Epoch: 29 | Training Loss: 491027.5779038915 | MAE: 1777296.2212 | MSE: 2702655672549.007 | RMSE: 996.7621 | RSE: 28.8397 | RAE: 8.8518 | Correlation: 0.7928000092506409
INFO:training:Epoch: 30 | Training Loss: 472030.27859669813 | MAE: 1770340.8977 | MSE: 2576377095801.905 | RMSE: 994.0464 | RSE: 33.0765 | RAE: 10.6162 | Correlation: 0.7939000129699707
INFO:training:Epoch: 31 | Training Loss: 494156.66229363205 | MAE: 1829398.0605 | MSE: 2816665218615.619 | RMSE: 1011.4235 | RSE: 46.9284 | RAE: 11.943 | Correlation: 0.79339998960495
INFO:training:Epoch: 32 | Training Loss: 467357.4261129127 | MAE: 2178364.5006 | MSE: 3210754251371.9727 | RMSE: 1088.1885 | RSE: 50.0861 | RAE: 15.2837 | Correlation: 0.7922000288963318
INFO:training:Epoch: 33 | Training Loss: 450772.0250589623 | MAE: 1960358.568 | MSE: 3241629764602.7754 | RMSE: 1043.4828 | RSE: 46.6121 | RAE: 12.7958 | Correlation: 0.7897999882698059
INFO:training:Epoch: 34 | Training Loss: 478803.83070459904 | MAE: 2072690.4948 | MSE: 3366570495985.905 | RMSE: 1066.9465 | RSE: 50.8408 | RAE: 12.9474 | Correlation: 0.7906000018119812
INFO:training:Epoch: 35 | Training Loss: 456303.7060731132 | MAE: 2049555.6004 | MSE: 3317084522731.5376 | RMSE: 1062.2018 | RSE: 54.3064 | RAE: 13.9959 | Correlation: 0.7910000085830688
INFO:training:Epoch: 36 | Training Loss: 429215.0947081368 | MAE: 1829472.9517 | MSE: 2845695439552.4355 | RMSE: 1012.9707 | RSE: 47.8835 | RAE: 12.3689 | Correlation: 0.7936000227928162
INFO:training:Epoch: 37 | Training Loss: 411569.6735333137 | MAE: 2031739.4684 | MSE: 3253785074159.4556 | RMSE: 1059.6093 | RSE: 46.321 | RAE: 12.139 | Correlation: 0.7906000018119812
INFO:training:Epoch: 38 | Training Loss: 455805.7301739387 | MAE: 1941475.1637 | MSE: 3025085449343.1294 | RMSE: 1039.1805 | RSE: 42.7928 | RAE: 12.1935 | Correlation: 0.7914000153541565
INFO:training:Epoch: 39 | Training Loss: 408932.362839033 | MAE: 1978288.544 | MSE: 3154589977204.4624 | RMSE: 1047.0551 | RSE: 50.1131 | RAE: 13.1008 | Correlation: 0.7900000214576721
INFO:training:Epoch: 40 | Training Loss: 392303.7946639151 | MAE: 2070422.6565 | MSE: 3337640309373.3877 | RMSE: 1068.2967 | RSE: 52.5309 | RAE: 14.3673 | Correlation: 0.7896999716758728
INFO:training:Epoch: 41 | Training Loss: 406189.31795400946 | MAE: 2097191.6004 | MSE: 3449173712838.531 | RMSE: 1077.587 | RSE: 60.1787 | RAE: 15.5158 | Correlation: 0.7896000146865845
INFO:training:Epoch: 42 | Training Loss: 417548.50648584904 | MAE: 1834941.0436 | MSE: 2911827490286.585 | RMSE: 1017.6065 | RSE: 38.1577 | RAE: 10.7199 | Correlation: 0.7918000221252441
INFO:training:Epoch: 43 | Training Loss: 406725.538178066 | MAE: 2077994.2877 | MSE: 3229591793340.517 | RMSE: 1070.9407 | RSE: 48.0055 | RAE: 13.1312 | Correlation: 0.7903000116348267
INFO:training:Epoch: 44 | Training Loss: 402547.14806898584 | MAE: 1961900.8833 | MSE: 3126087892217.034 | RMSE: 1046.2475 | RSE: 45.9054 | RAE: 13.3182 | Correlation: 0.7900999784469604
INFO:training:Epoch: 45 | Training Loss: 435096.230910967 | MAE: 1975675.0291 | MSE: 3128943484304.5444 | RMSE: 1046.9779 | RSE: 48.2403 | RAE: 12.8504 | Correlation: 0.7911999821662903
INFO:training:Epoch: 46 | Training Loss: 379723.53515625 | MAE: 1851805.833 | MSE: 2910887369934.6396 | RMSE: 1017.5921 | RSE: 31.7612 | RAE: 8.9479 | Correlation: 0.7918999791145325
INFO:training:Epoch: 47 | Training Loss: 376269.57163915096 | MAE: 1806047.6226 | MSE: 2960415394538.2314 | RMSE: 1011.2167 | RSE: 41.0509 | RAE: 10.8726 | Correlation: 0.791700005531311
INFO:training:Epoch: 48 | Training Loss: 385448.8364534198 | MAE: 2006223.6128 | MSE: 3350501619355.864 | RMSE: 1058.4397 | RSE: 55.1414 | RAE: 13.5441 | Correlation: 0.7903000116348267
INFO:training:Epoch: 49 | Training Loss: 367602.04237912735 | MAE: 1932567.9558 | MSE: 3177959808122.7754 | RMSE: 1039.0883 | RSE: 35.1439 | RAE: 9.5873 | Correlation: 0.7908999919891357
INFO:training:Epoch: 50 | Training Loss: 388001.4567364387 | MAE: 2012895.3226 | MSE: 3371049571823.0205 | RMSE: 1058.4975 | RSE: 65.3827 | RAE: 15.3515 | Correlation: 0.7901999950408936
INFO:training:Epoch: 51 | Training Loss: 381730.1306382665 | MAE: 2054173.8914 | MSE: 3330089856931.265 | RMSE: 1068.0482 | RSE: 57.3655 | RAE: 14.6378 | Correlation: 0.7912999987602234
INFO:training:Epoch: 52 | Training Loss: 379988.4594634434 | MAE: 2227161.2565 | MSE: 3814530754592.218 | RMSE: 1108.4503 | RSE: 63.4412 | RAE: 16.3131 | Correlation: 0.7879999876022339
INFO:training:Epoch: 53 | Training Loss: 344561.7450987618 | MAE: 1681090.7854 | MSE: 2629198840364.408 | RMSE: 977.8451 | RSE: 35.5336 | RAE: 9.733 | Correlation: 0.7943999767303467
INFO:training:Epoch: 54 | Training Loss: 372523.1601193986 | MAE: 1871706.0704 | MSE: 3056657700280.163 | RMSE: 1026.1449 | RSE: 45.249 | RAE: 11.758 | Correlation: 0.7910000085830688
INFO:training:Epoch: 55 | Training Loss: 361126.417084316 | MAE: 2374415.8346 | MSE: 3956396579052.408 | RMSE: 1139.7175 | RSE: 86.0359 | RAE: 21.8825 | Correlation: 0.7883999943733215
INFO:training:Epoch: 56 | Training Loss: 369827.0237323113 | MAE: 2227902.4418 | MSE: 3882133918758.313 | RMSE: 1109.2652 | RSE: 77.6463 | RAE: 18.5084 | Correlation: 0.7874000072479248
INFO:training:Epoch: 57 | Training Loss: 351937.8265035377 | MAE: 1947237.0464 | MSE: 3088302475126.313 | RMSE: 1042.1896 | RSE: 42.7131 | RAE: 11.0735 | Correlation: 0.7908999919891357
INFO:training:Epoch: 58 | Training Loss: 348279.9340728184 | MAE: 1902895.2945 | MSE: 3035027790256.735 | RMSE: 1033.1032 | RSE: 57.3335 | RAE: 14.2652 | Correlation: 0.7914999723434448
INFO:training:Epoch: 59 | Training Loss: 387884.77336379717 | MAE: 1900543.8886 | MSE: 3098556261255.4014 | RMSE: 1032.6995 | RSE: 44.6911 | RAE: 11.8305 | Correlation: 0.7912999987602234
INFO:training:Epoch: 60 | Training Loss: 358207.40588148584 | MAE: 1910759.813 | MSE: 3038411907728.5444 | RMSE: 1035.4441 | RSE: 47.4769 | RAE: 12.4783 | Correlation: 0.7904000282287598
INFO:training:Epoch: 61 | Training Loss: 347017.0444059552 | MAE: 2134779.0552 | MSE: 3528835950518.857 | RMSE: 1088.2532 | RSE: 66.6985 | RAE: 16.89 | Correlation: 0.7889999747276306
INFO:training:Epoch: 62 | Training Loss: 347006.5102446934 | MAE: 2163241.804 | MSE: 3535924184491.102 | RMSE: 1094.5732 | RSE: 63.3856 | RAE: 16.4228 | Correlation: 0.7885000109672546
INFO:training:Epoch: 63 | Training Loss: 336246.5454377948 | MAE: 1912342.3278 | MSE: 2999577428029.3877 | RMSE: 1036.0022 | RSE: 44.8586 | RAE: 11.5474 | Correlation: 0.7904000282287598
INFO:training:Epoch: 64 | Training Loss: 337586.3469192217 | MAE: 1956707.9794 | MSE: 2990036159272.9253 | RMSE: 1042.7829 | RSE: 45.4816 | RAE: 11.4473 | Correlation: 0.7910000085830688
INFO:training:Epoch: 65 | Training Loss: 336332.99609375 | MAE: 2066370.9338 | MSE: 3445311420405.3335 | RMSE: 1073.9244 | RSE: 80.0415 | RAE: 17.9876 | Correlation: 0.7882000207901001
INFO:training:Epoch: 66 | Training Loss: 341283.5341981132 | MAE: 2111270.5741 | MSE: 3377495822994.2856 | RMSE: 1082.1681 | RSE: 73.1763 | RAE: 17.3272 | Correlation: 0.7889000177383423
INFO:training:Epoch: 67 | Training Loss: 313809.3488354953 | MAE: 2109136.2005 | MSE: 3362670205848.381 | RMSE: 1080.8345 | RSE: 66.2992 | RAE: 16.5512 | Correlation: 0.7893000245094299
INFO:training:Epoch: 68 | Training Loss: 335992.83774321934 | MAE: 1887436.2219 | MSE: 3012191946866.068 | RMSE: 1028.1679 | RSE: 49.5802 | RAE: 12.5409 | Correlation: 0.7918000221252441
