INFO:training:Epoch: 1 | Training Loss: 2834719.484669811 | MAE: 2891385.8239 | MSE: 3580485694289.85 | RMSE: 1234.995 | RSE: 63.368 | RAE: 23.7472 | Correlation: 0.7616000175476074
INFO:training:Epoch: 2 | Training Loss: 983789.2971698113 | MAE: 1902535.6206 | MSE: 2688877068268.952 | RMSE: 1022.6553 | RSE: 32.9616 | RAE: 9.6708 | Correlation: 0.7820000052452087
INFO:training:Epoch: 3 | Training Loss: 845735.5168042453 | MAE: 1922809.5464 | MSE: 2557231569731.9185 | RMSE: 1025.7687 | RSE: 26.3853 | RAE: 8.2599 | Correlation: 0.7904999852180481
INFO:training:Epoch: 4 | Training Loss: 887782.4411851416 | MAE: 1628190.2649 | MSE: 2212753030236.952 | RMSE: 953.8844 | RSE: 18.3828 | RAE: 5.7866 | Correlation: 0.7978000044822693
INFO:training:Epoch: 5 | Training Loss: 667217.1510908019 | MAE: 2280218.6397 | MSE: 3034404192339.592 | RMSE: 1105.3227 | RSE: 35.2696 | RAE: 12.0931 | Correlation: 0.7936999797821045
INFO:training:Epoch: 6 | Training Loss: 699592.088074882 | MAE: 2127594.4413 | MSE: 2872561704110.15 | RMSE: 1072.1455 | RSE: 31.0555 | RAE: 10.3486 | Correlation: 0.7936999797821045
INFO:training:Epoch: 7 | Training Loss: 655803.603699882 | MAE: 1731839.2482 | MSE: 2429162213236.0273 | RMSE: 980.0014 | RSE: 13.4593 | RAE: 5.4723 | Correlation: 0.7960000038146973
INFO:training:Epoch: 8 | Training Loss: 670796.4142836084 | MAE: 1847144.2347 | MSE: 2602869894229.7686 | RMSE: 1008.8012 | RSE: 23.5089 | RAE: 7.0468 | Correlation: 0.7950999736785889
INFO:training:Epoch: 9 | Training Loss: 622373.9118514151 | MAE: 1589076.5153 | MSE: 2311818315630.585 | RMSE: 945.8473 | RSE: 13.2411 | RAE: 5.5511 | Correlation: 0.7978000044822693
INFO:training:Epoch: 10 | Training Loss: 584564.5387676887 | MAE: 1608100.9523 | MSE: 2312094636681.3604 | RMSE: 949.3314 | RSE: 16.6185 | RAE: 5.7737 | Correlation: 0.7990000247955322
INFO:training:Epoch: 11 | Training Loss: 616783.76171875 | MAE: 1559914.2229 | MSE: 2277671030150.095 | RMSE: 937.2413 | RSE: 11.0576 | RAE: 5.34 | Correlation: 0.7982000112533569
