INFO:training:Epoch: 1 | Training Loss: 2934758.143720519 | MAE: 2649460.9717 | MSE: 3818383800849.415 | RMSE: 1194.7609 | RSE: 48.9987 | RAE: 23.7802 | Correlation: -0.6757000088691711
INFO:training:Epoch: 2 | Training Loss: 1103185.4811320754 | MAE: 1993120.2438 | MSE: 2890226674712.9253 | RMSE: 1051.0055 | RSE: 23.6744 | RAE: 8.7016 | Correlation: -0.6783000230789185
INFO:training:Epoch: 3 | Training Loss: 856297.6064268867 | MAE: 1907718.2526 | MSE: 2646801983362.939 | RMSE: 1028.022 | RSE: 28.7745 | RAE: 8.9261 | Correlation: 0.7134000062942505
INFO:training:Epoch: 4 | Training Loss: 717379.8805277123 | MAE: 1841179.6217 | MSE: 2476756713887.782 | RMSE: 1009.5493 | RSE: 22.6573 | RAE: 7.8098 | Correlation: 0.7809000015258789
INFO:training:Epoch: 5 | Training Loss: 649976.9859227594 | MAE: 1839417.3428 | MSE: 2465465823538.5034 | RMSE: 1004.9711 | RSE: 34.8535 | RAE: 10.4173 | Correlation: 0.786899983882904
INFO:training:Epoch: 6 | Training Loss: 640788.5080336084 | MAE: 1892508.7478 | MSE: 2587168563912.272 | RMSE: 1017.4106 | RSE: 34.2317 | RAE: 9.6629 | Correlation: 0.7937999963760376
INFO:training:Epoch: 7 | Training Loss: 606796.2827977594 | MAE: 1545792.7216 | MSE: 2208890553716.68 | RMSE: 932.4599 | RSE: 21.5801 | RAE: 6.5734 | Correlation: 0.7967000007629395
INFO:training:Epoch: 8 | Training Loss: 548278.2889887972 | MAE: 1535649.0288 | MSE: 2232314371246.476 | RMSE: 929.6077 | RSE: 19.4604 | RAE: 5.342 | Correlation: 0.7985000014305115
INFO:training:Epoch: 9 | Training Loss: 539396.715285967 | MAE: 1541668.9896 | MSE: 2291607658570.6597 | RMSE: 932.4015 | RSE: 28.7175 | RAE: 7.5485 | Correlation: 0.796500027179718
INFO:training:Epoch: 10 | Training Loss: 516604.31168926886 | MAE: 1670827.4075 | MSE: 2500267229673.469 | RMSE: 964.6823 | RSE: 31.3369 | RAE: 8.3495 | Correlation: 0.794700026512146
INFO:training:Epoch: 11 | Training Loss: 515725.4439121462 | MAE: 1576193.8584 | MSE: 2375037695177.578 | RMSE: 940.3137 | RSE: 24.1946 | RAE: 7.4507 | Correlation: 0.795799970626831
INFO:training:Epoch: 12 | Training Loss: 554902.391067217 | MAE: 1582568.1803 | MSE: 2224026923022.8027 | RMSE: 939.9894 | RSE: 15.3124 | RAE: 4.8839 | Correlation: 0.7998999953269958
INFO:training:Epoch: 13 | Training Loss: 534965.3365271227 | MAE: 1578964.9153 | MSE: 2300526187156.4624 | RMSE: 939.9143 | RSE: 27.4212 | RAE: 7.0135 | Correlation: 0.7986000180244446
INFO:training:Epoch: 14 | Training Loss: 536140.551223467 | MAE: 1758402.6499 | MSE: 2634170045691.9727 | RMSE: 987.4649 | RSE: 36.25 | RAE: 9.1088 | Correlation: 0.7955999970436096
INFO:training:Epoch: 15 | Training Loss: 495644.7924896816 | MAE: 1661700.6422 | MSE: 2543489092019.374 | RMSE: 964.988 | RSE: 38.6674 | RAE: 10.1351 | Correlation: 0.7964000105857849
INFO:training:Epoch: 16 | Training Loss: 483912.4482606132 | MAE: 1817174.9951 | MSE: 2738086593090.83 | RMSE: 1002.0124 | RSE: 43.4688 | RAE: 11.1265 | Correlation: 0.7947999835014343
INFO:training:Epoch: 17 | Training Loss: 488769.6920695755 | MAE: 1638824.4638 | MSE: 2506102738996.68 | RMSE: 960.1947 | RSE: 31.1954 | RAE: 8.9953 | Correlation: 0.7955999970436096
INFO:training:Epoch: 18 | Training Loss: 456814.2834979363 | MAE: 1778339.9294 | MSE: 2779875839573.3335 | RMSE: 997.3142 | RSE: 44.2222 | RAE: 11.1618 | Correlation: 0.7939000129699707
INFO:training:Epoch: 19 | Training Loss: 448477.75353773584 | MAE: 1785561.6641 | MSE: 2747931096585.578 | RMSE: 998.2076 | RSE: 41.8056 | RAE: 11.0959 | Correlation: 0.7937999963760376
INFO:training:Epoch: 20 | Training Loss: 503171.9954304245 | MAE: 1800156.7718 | MSE: 2833506730781.17 | RMSE: 1001.5233 | RSE: 50.8551 | RAE: 11.8602 | Correlation: 0.7940999865531921
INFO:training:Epoch: 21 | Training Loss: 440254.66686320753 | MAE: 1775506.4538 | MSE: 2727923291277.7144 | RMSE: 994.9322 | RSE: 43.1699 | RAE: 10.6797 | Correlation: 0.7944999933242798
INFO:training:Epoch: 22 | Training Loss: 421405.3056456368 | MAE: 1897032.6023 | MSE: 2978160648662.204 | RMSE: 1024.1371 | RSE: 49.9363 | RAE: 11.6591 | Correlation: 0.7935000061988831
INFO:training:Epoch: 23 | Training Loss: 461596.6355026533 | MAE: 1811727.135 | MSE: 2716499080512.4355 | RMSE: 1003.6232 | RSE: 40.214 | RAE: 10.0894 | Correlation: 0.7955999970436096
INFO:training:Epoch: 24 | Training Loss: 435381.4721034788 | MAE: 1770223.8216 | MSE: 2733819456866.3945 | RMSE: 995.5456 | RSE: 48.9377 | RAE: 11.5992 | Correlation: 0.7954999804496765
INFO:training:Epoch: 25 | Training Loss: 429271.12905365566 | MAE: 1879934.8832 | MSE: 2972988483930.993 | RMSE: 1022.5957 | RSE: 51.1038 | RAE: 11.9238 | Correlation: 0.7930999994277954
INFO:training:Epoch: 26 | Training Loss: 411687.08796432783 | MAE: 1874087.1664 | MSE: 2852379726899.1562 | RMSE: 1020.6385 | RSE: 44.8997 | RAE: 10.7171 | Correlation: 0.7936999797821045
INFO:training:Epoch: 27 | Training Loss: 429261.4577682783 | MAE: 1822251.003 | MSE: 2946138011538.721 | RMSE: 1012.9363 | RSE: 52.2805 | RAE: 11.6569 | Correlation: 0.7918999791145325
INFO:training:Epoch: 28 | Training Loss: 395805.92987175705 | MAE: 1747125.1863 | MSE: 2640616295372.952 | RMSE: 990.9323 | RSE: 47.0505 | RAE: 11.5669 | Correlation: 0.7955999970436096
INFO:training:Epoch: 29 | Training Loss: 416602.3705778302 | MAE: 1866295.1979 | MSE: 2909844730694.966 | RMSE: 1019.3697 | RSE: 43.7688 | RAE: 11.659 | Correlation: 0.7930999994277954
INFO:training:Epoch: 30 | Training Loss: 417090.36213885614 | MAE: 1686114.2567 | MSE: 2602721798025.578 | RMSE: 979.462 | RSE: 40.8048 | RAE: 10.1966 | Correlation: 0.7954999804496765
INFO:training:Epoch: 31 | Training Loss: 379910.4202535377 | MAE: 1604704.3799 | MSE: 2438865214306.3945 | RMSE: 954.7938 | RSE: 31.6292 | RAE: 9.1947 | Correlation: 0.7968999743461609
INFO:training:Epoch: 32 | Training Loss: 409285.8772110849 | MAE: 1893206.2494 | MSE: 2814516649121.959 | RMSE: 1026.7276 | RSE: 52.2449 | RAE: 12.3067 | Correlation: 0.7957000136375427
INFO:training:Epoch: 33 | Training Loss: 430140.64176739386 | MAE: 1879018.3323 | MSE: 2930998783721.3604 | RMSE: 1029.1895 | RSE: 53.1919 | RAE: 12.3085 | Correlation: 0.7929999828338623
INFO:training:Epoch: 34 | Training Loss: 385099.0981353184 | MAE: 1881974.3501 | MSE: 2745535402810.7754 | RMSE: 1021.6314 | RSE: 50.0084 | RAE: 11.9629 | Correlation: 0.7961000204086304
INFO:training:Epoch: 35 | Training Loss: 407237.65101709904 | MAE: 1861258.7152 | MSE: 2836840765060.789 | RMSE: 1021.791 | RSE: 40.7206 | RAE: 10.2046 | Correlation: 0.7935000061988831
INFO:training:Epoch: 36 | Training Loss: 409291.1972287736 | MAE: 1834510.8729 | MSE: 2791879178835.592 | RMSE: 1016.7963 | RSE: 59.6584 | RAE: 13.469 | Correlation: 0.7949000000953674
INFO:training:Epoch: 37 | Training Loss: 382129.0095076651 | MAE: 1670471.909 | MSE: 2576083612292.789 | RMSE: 971.9367 | RSE: 38.5908 | RAE: 9.3904 | Correlation: 0.7950999736785889
INFO:training:Epoch: 38 | Training Loss: 376698.49786261795 | MAE: 1758488.2332 | MSE: 2694029766800.9795 | RMSE: 995.3129 | RSE: 48.8757 | RAE: 11.3014 | Correlation: 0.7957000136375427
INFO:training:Epoch: 39 | Training Loss: 414745.1792084316 | MAE: 1773022.4652 | MSE: 2825261707770.5576 | RMSE: 1000.8986 | RSE: 56.5073 | RAE: 12.3333 | Correlation: 0.7944999933242798
INFO:training:Epoch: 40 | Training Loss: 347521.2834610849 | MAE: 1767040.5184 | MSE: 2735366878252.408 | RMSE: 1000.223 | RSE: 49.2064 | RAE: 10.9684 | Correlation: 0.7955999970436096
INFO:training:Epoch: 41 | Training Loss: 360881.8040241745 | MAE: 1932540.8938 | MSE: 3102876782507.5376 | RMSE: 1041.8965 | RSE: 51.7431 | RAE: 12.5818 | Correlation: 0.79339998960495
INFO:training:Epoch: 42 | Training Loss: 357970.029296875 | MAE: 1507561.768 | MSE: 2258159134225.415 | RMSE: 926.9044 | RSE: 29.5985 | RAE: 7.6352 | Correlation: 0.7994999885559082
INFO:training:Epoch: 43 | Training Loss: 390196.5974351415 | MAE: 1790821.7697 | MSE: 2703980297108.4624 | RMSE: 1005.704 | RSE: 49.4465 | RAE: 11.3778 | Correlation: 0.7965999841690063
INFO:training:Epoch: 44 | Training Loss: 350179.8872346698 | MAE: 1815198.7381 | MSE: 2846513133604.5713 | RMSE: 1011.896 | RSE: 50.448 | RAE: 11.4056 | Correlation: 0.7943000197410583
INFO:training:Epoch: 45 | Training Loss: 352152.8098835495 | MAE: 1839260.8968 | MSE: 2943158427627.5376 | RMSE: 1019.9136 | RSE: 59.4936 | RAE: 13.3492 | Correlation: 0.7935000061988831
INFO:training:Epoch: 46 | Training Loss: 360949.7620135613 | MAE: 1864254.6489 | MSE: 2851814075109.6597 | RMSE: 1021.1705 | RSE: 50.5122 | RAE: 11.7243 | Correlation: 0.7954000234603882
INFO:training:Epoch: 47 | Training Loss: 346300.45566774765 | MAE: 1599153.8721 | MSE: 2428965435069.3877 | RMSE: 956.9785 | RSE: 37.7512 | RAE: 9.0651 | Correlation: 0.7967000007629395
INFO:training:Epoch: 48 | Training Loss: 343221.2409714033 | MAE: 2158990.855 | MSE: 3480606284652.408 | RMSE: 1093.9551 | RSE: 58.7843 | RAE: 13.5959 | Correlation: 0.7914000153541565
INFO:training:Epoch: 49 | Training Loss: 342453.1643204599 | MAE: 1731442.6772 | MSE: 2843659731080.9253 | RMSE: 998.3752 | RSE: 55.5221 | RAE: 12.8547 | Correlation: 0.7936000227928162
INFO:training:Epoch: 50 | Training Loss: 343601.2644089033 | MAE: 1721949.7882 | MSE: 2690978868691.592 | RMSE: 993.4186 | RSE: 50.5782 | RAE: 10.9835 | Correlation: 0.7943999767303467
INFO:training:Epoch: 51 | Training Loss: 347830.4880232901 | MAE: 1732432.8675 | MSE: 2754260016395.32 | RMSE: 993.6261 | RSE: 56.6436 | RAE: 12.1319 | Correlation: 0.7942000031471252
INFO:training:Epoch: 52 | Training Loss: 340480.1884581368 | MAE: 1865894.425 | MSE: 2894808126913.7417 | RMSE: 1027.8466 | RSE: 59.0165 | RAE: 13.0931 | Correlation: 0.7942000031471252
INFO:training:Epoch: 53 | Training Loss: 334487.03066037735 | MAE: 1773546.5341 | MSE: 2648841604995.7007 | RMSE: 1001.2003 | RSE: 41.0371 | RAE: 9.909 | Correlation: 0.7968000173568726
INFO:training:Epoch: 54 | Training Loss: 323462.0334610849 | MAE: 1799708.7284 | MSE: 2848401076878.8027 | RMSE: 1015.4367 | RSE: 48.3232 | RAE: 10.4037 | Correlation: 0.7954000234603882
INFO:training:Epoch: 55 | Training Loss: 323114.9555571934 | MAE: 1825699.2139 | MSE: 2873542272024.8164 | RMSE: 1018.2113 | RSE: 59.7411 | RAE: 12.7119 | Correlation: 0.7950000166893005
INFO:training:Epoch: 56 | Training Loss: 314923.54680129717 | MAE: 1954090.0871 | MSE: 3267407438449.1973 | RMSE: 1053.4947 | RSE: 58.3796 | RAE: 11.3803 | Correlation: 0.7919999957084656
INFO:training:Epoch: 57 | Training Loss: 297377.3210863797 | MAE: 1832593.1257 | MSE: 3086304281428.3535 | RMSE: 1026.9651 | RSE: 47.0492 | RAE: 10.0805 | Correlation: 0.7940000295639038
INFO:training:Epoch: 58 | Training Loss: 315452.46893425705 | MAE: 1905699.5473 | MSE: 3032482498943.1294 | RMSE: 1042.5476 | RSE: 57.3115 | RAE: 12.0185 | Correlation: 0.7935000061988831
INFO:training:Epoch: 59 | Training Loss: 313323.0964770047 | MAE: 1806866.6931 | MSE: 2882730070131.374 | RMSE: 1020.4389 | RSE: 53.8395 | RAE: 11.7213 | Correlation: 0.7944999933242798
INFO:training:Epoch: 60 | Training Loss: 307178.43742629717 | MAE: 1797434.8596 | MSE: 2925264097588.4624 | RMSE: 1012.463 | RSE: 45.9979 | RAE: 10.2028 | Correlation: 0.7925000190734863
INFO:training:Epoch: 61 | Training Loss: 288556.8688089623 | MAE: 1649231.653 | MSE: 2710331740385.959 | RMSE: 977.5573 | RSE: 44.1305 | RAE: 9.6682 | Correlation: 0.7943999767303467
INFO:training:Epoch: 62 | Training Loss: 295639.28640919813 | MAE: 1761373.6052 | MSE: 2702958934905.2515 | RMSE: 1001.4906 | RSE: 53.5807 | RAE: 11.6025 | Correlation: 0.7961000204086304
INFO:training:Epoch: 63 | Training Loss: 318504.6137971698 | MAE: 1910542.2429 | MSE: 3304467242594.3945 | RMSE: 1046.5453 | RSE: 65.8853 | RAE: 14.12 | Correlation: 0.7911999821662903
INFO:training:Epoch: 64 | Training Loss: 321694.44059551886 | MAE: 1707850.2464 | MSE: 2723930040156.626 | RMSE: 990.9637 | RSE: 54.0116 | RAE: 10.9359 | Correlation: 0.7944999933242798
INFO:training:Epoch: 65 | Training Loss: 308520.00958136795 | MAE: 1874057.9853 | MSE: 2982584047795.374 | RMSE: 1031.2243 | RSE: 60.6619 | RAE: 13.3407 | Correlation: 0.7937999963760376
INFO:training:Epoch: 66 | Training Loss: 295896.481353184 | MAE: 1883579.191 | MSE: 2956812809129.796 | RMSE: 1033.5081 | RSE: 57.0203 | RAE: 12.5685 | Correlation: 0.7936999797821045
INFO:training:Epoch: 67 | Training Loss: 318028.54186320753 | MAE: 1747642.2281 | MSE: 2781186250452.4624 | RMSE: 1001.5642 | RSE: 39.5506 | RAE: 9.3528 | Correlation: 0.7954000234603882
INFO:training:Epoch: 68 | Training Loss: 342024.226120283 | MAE: 1841080.8467 | MSE: 2892259472299.755 | RMSE: 1023.0668 | RSE: 50.0234 | RAE: 11.0942 | Correlation: 0.7940000295639038
INFO:training:Epoch: 69 | Training Loss: 285290.1179245283 | MAE: 1927012.1087 | MSE: 3072179205892.3535 | RMSE: 1047.8402 | RSE: 63.1627 | RAE: 13.7324 | Correlation: 0.7926999926567078
INFO:training:Epoch: 70 | Training Loss: 308336.67172759434 | MAE: 1626337.1086 | MSE: 2532255068200.9253 | RMSE: 968.7614 | RSE: 45.9552 | RAE: 10.111 | Correlation: 0.7960000038146973
INFO:training:Epoch: 71 | Training Loss: 268752.76326650946 | MAE: 1793780.1717 | MSE: 2849545760659.1562 | RMSE: 1013.8952 | RSE: 70.8132 | RAE: 14.9545 | Correlation: 0.7950000166893005
INFO:training:Epoch: 72 | Training Loss: 279830.696381191 | MAE: 1589455.6849 | MSE: 2429873796564.0273 | RMSE: 954.4747 | RSE: 36.7857 | RAE: 8.1228 | Correlation: 0.7971000075340271
INFO:training:Epoch: 73 | Training Loss: 277576.72225088446 | MAE: 1821999.3296 | MSE: 2912363969300.0273 | RMSE: 1020.4018 | RSE: 49.8152 | RAE: 11.3866 | Correlation: 0.7932999730110168
INFO:training:Epoch: 74 | Training Loss: 277032.1198776533 | MAE: 1831598.8228 | MSE: 2997079231773.6055 | RMSE: 1022.9213 | RSE: 59.6879 | RAE: 12.8715 | Correlation: 0.792900025844574
INFO:training:Epoch: 75 | Training Loss: 268624.8945681014 | MAE: 1888034.2394 | MSE: 3195033795253.3335 | RMSE: 1043.1138 | RSE: 63.9324 | RAE: 12.6052 | Correlation: 0.7911999821662903
INFO:training:Epoch: 76 | Training Loss: 279366.72501474054 | MAE: 1734582.499 | MSE: 2729300065304.5986 | RMSE: 996.736 | RSE: 51.9614 | RAE: 11.4529 | Correlation: 0.794700026512146
INFO:training:Epoch: 77 | Training Loss: 299445.61237839033 | MAE: 1841944.1253 | MSE: 2971279084442.5576 | RMSE: 1032.1778 | RSE: 65.2371 | RAE: 13.858 | Correlation: 0.79339998960495
INFO:training:Epoch: 78 | Training Loss: 285689.1438679245 | MAE: 1737800.8732 | MSE: 2659299940494.585 | RMSE: 996.31 | RSE: 54.7888 | RAE: 11.6703 | Correlation: 0.7954000234603882
INFO:training:Epoch: 79 | Training Loss: 268013.9443175118 | MAE: 1770795.4792 | MSE: 2944185842987.9727 | RMSE: 1014.8207 | RSE: 65.352 | RAE: 13.4864 | Correlation: 0.7919999957084656
INFO:training:Epoch: 80 | Training Loss: 289955.95200103184 | MAE: 1631131.6271 | MSE: 2570480221516.1904 | RMSE: 971.9708 | RSE: 44.1009 | RAE: 9.1107 | Correlation: 0.795199990272522
