INFO:training:Epoch: 1 | Training Loss: 4436025.7830188675 | MAE: 3612796.5264 | MSE: 4974994204518.748 | RMSE: 1376.0886 | RSE: 98.3837 | RAE: 45.1943 | Correlation: 0.8011000156402588
INFO:training:Epoch: 2 | Training Loss: 3525717.2488207547 | MAE: 3140625.2504 | MSE: 4062146334859.32 | RMSE: 1285.5905 | RSE: 84.1832 | RAE: 38.7465 | Correlation: 0.7998999953269958
INFO:training:Epoch: 3 | Training Loss: 2911786.933962264 | MAE: 2764124.3 | MSE: 3468317532355.048 | RMSE: 1207.6068 | RSE: 66.9054 | RAE: 31.3873 | Correlation: 0.7972000241279602
INFO:training:Epoch: 4 | Training Loss: 2266493.0300707547 | MAE: 2622201.9981 | MSE: 3383223065969.1973 | RMSE: 1181.0139 | RSE: 49.5699 | RAE: 24.145 | Correlation: 0.7939000129699707
INFO:training:Epoch: 5 | Training Loss: 1888796.704009434 | MAE: 2657905.025 | MSE: 3565828145458.5034 | RMSE: 1187.5528 | RSE: 39.0274 | RAE: 19.8907 | Correlation: 0.7912999987602234
INFO:training:Epoch: 6 | Training Loss: 1705597.7729952831 | MAE: 2645023.0845 | MSE: 3665605484028.5166 | RMSE: 1184.6295 | RSE: 33.3069 | RAE: 17.6287 | Correlation: 0.7894999980926514
INFO:training:Epoch: 7 | Training Loss: 1579393.9911556605 | MAE: 2503169.9471 | MSE: 3456122433710.15 | RMSE: 1154.6884 | RSE: 30.7042 | RAE: 16.122 | Correlation: 0.7888000011444092
INFO:training:Epoch: 8 | Training Loss: 1436586.9887971699 | MAE: 2377439.8603 | MSE: 3250105234508.626 | RMSE: 1127.2433 | RSE: 28.6987 | RAE: 14.8412 | Correlation: 0.7883999943733215
INFO:training:Epoch: 9 | Training Loss: 1318374.7390919812 | MAE: 2321639.4005 | MSE: 3200792210891.755 | RMSE: 1114.4837 | RSE: 25.781 | RAE: 13.5433 | Correlation: 0.7871999740600586
INFO:training:Epoch: 10 | Training Loss: 1266307.6468160378 | MAE: 2248816.9273 | MSE: 3101815120815.891 | RMSE: 1097.7559 | RSE: 23.5353 | RAE: 12.5103 | Correlation: 0.7864999771118164
INFO:training:Epoch: 11 | Training Loss: 1204604.1698113207 | MAE: 2195588.9036 | MSE: 3042706654068.68 | RMSE: 1085.4408 | RSE: 21.6069 | RAE: 11.5743 | Correlation: 0.7857000231742859
INFO:training:Epoch: 12 | Training Loss: 1119296.8643867925 | MAE: 2156813.608 | MSE: 3024587821651.592 | RMSE: 1076.3524 | RSE: 20.0418 | RAE: 10.6851 | Correlation: 0.784600019454956
INFO:training:Epoch: 13 | Training Loss: 1087125.0056014152 | MAE: 2114143.2946 | MSE: 2979822953165.4966 | RMSE: 1066.5551 | RSE: 18.7812 | RAE: 9.9795 | Correlation: 0.7839999794960022
INFO:training:Epoch: 14 | Training Loss: 1037906.6073113207 | MAE: 2055764.6796 | MSE: 2872910622392.5986 | RMSE: 1053.6899 | RSE: 18.0536 | RAE: 9.6093 | Correlation: 0.7835999727249146
INFO:training:Epoch: 15 | Training Loss: 993132.4501768867 | MAE: 2022415.36 | MSE: 2855504667696.7617 | RMSE: 1045.8148 | RSE: 17.0262 | RAE: 8.9643 | Correlation: 0.7827000021934509
INFO:training:Epoch: 16 | Training Loss: 972365.5610259434 | MAE: 1978784.6135 | MSE: 2800224342649.905 | RMSE: 1035.8887 | RSE: 16.3414 | RAE: 8.5232 | Correlation: 0.7821000218391418
INFO:training:Epoch: 17 | Training Loss: 981887.0112028302 | MAE: 1954435.882 | MSE: 2815727394314.449 | RMSE: 1029.8209 | RSE: 15.6327 | RAE: 7.7625 | Correlation: 0.7813000082969666
INFO:training:Epoch: 18 | Training Loss: 910487.0554245283 | MAE: 1917936.813 | MSE: 2774628118492.2993 | RMSE: 1021.4264 | RSE: 15.1101 | RAE: 7.3152 | Correlation: 0.7807999849319458
INFO:training:Epoch: 19 | Training Loss: 884420.8183962264 | MAE: 1858494.026 | MSE: 2664675949651.592 | RMSE: 1008.8574 | RSE: 14.4484 | RAE: 7.372 | Correlation: 0.7807000279426575
INFO:training:Epoch: 20 | Training Loss: 850364.7912735849 | MAE: 1853174.8994 | MSE: 2712758525881.034 | RMSE: 1005.8743 | RSE: 14.1199 | RAE: 6.4412 | Correlation: 0.7799999713897705
INFO:training:Epoch: 21 | Training Loss: 825483.6435731133 | MAE: 1815571.5788 | MSE: 2670186017193.796 | RMSE: 996.9369 | RSE: 13.4389 | RAE: 6.1084 | Correlation: 0.7796000242233276
INFO:training:Epoch: 22 | Training Loss: 814196.797759434 | MAE: 1774724.6987 | MSE: 2615713090498.6123 | RMSE: 987.8988 | RSE: 12.8213 | RAE: 5.9601 | Correlation: 0.7793999910354614
INFO:training:Epoch: 23 | Training Loss: 807630.5001474057 | MAE: 1749701.7371 | MSE: 2591159503259.9185 | RMSE: 982.0176 | RSE: 12.5539 | RAE: 5.6079 | Correlation: 0.77920001745224
INFO:training:Epoch: 24 | Training Loss: 799550.9243808963 | MAE: 1710821.1952 | MSE: 2546813244041.796 | RMSE: 973.3437 | RSE: 11.7562 | RAE: 5.4886 | Correlation: 0.7789000272750854
INFO:training:Epoch: 25 | Training Loss: 764058.0922759434 | MAE: 1721050.7723 | MSE: 2572809083326.367 | RMSE: 974.4373 | RSE: 12.1848 | RAE: 5.2387 | Correlation: 0.7786999940872192
INFO:training:Epoch: 26 | Training Loss: 766780.0949292453 | MAE: 1697152.1715 | MSE: 2547296013202.939 | RMSE: 968.3468 | RSE: 11.6138 | RAE: 5.0561 | Correlation: 0.7784000039100647
INFO:training:Epoch: 27 | Training Loss: 732978.3601857311 | MAE: 1647279.9648 | MSE: 2485885069205.7686 | RMSE: 956.9168 | RSE: 10.4547 | RAE: 4.9379 | Correlation: 0.7785000205039978
INFO:training:Epoch: 28 | Training Loss: 714091.6817511793 | MAE: 1646527.1437 | MSE: 2486472388928.9795 | RMSE: 956.0109 | RSE: 10.5301 | RAE: 4.7735 | Correlation: 0.7784000039100647
INFO:training:Epoch: 29 | Training Loss: 723547.7565227004 | MAE: 1637203.8053 | MSE: 2478752746000.7617 | RMSE: 953.9231 | RSE: 10.2604 | RAE: 4.6356 | Correlation: 0.7785999774932861
INFO:training:Epoch: 30 | Training Loss: 724306.5376621463 | MAE: 1627950.9268 | MSE: 2468383511999.2383 | RMSE: 951.2489 | RSE: 9.9535 | RAE: 4.5342 | Correlation: 0.7785999774932861
INFO:training:Epoch: 31 | Training Loss: 682499.3387382076 | MAE: 1614406.0472 | MSE: 2453723343542.422 | RMSE: 947.8072 | RSE: 9.792 | RAE: 4.483 | Correlation: 0.7784000039100647
