INFO:training:Epoch: 1 | Training Loss: 2992634.132075472 | MAE: 4133337.6539 | MSE: 9889618539539.156 | RMSE: 1487.5683 | RSE: 67.2766 | RAE: 21.5143 | Correlation: -0.762499988079071
INFO:training:Epoch: 2 | Training Loss: 1526691.4274764152 | MAE: 2839919.0335 | MSE: 5423314396737.741 | RMSE: 1251.0564 | RSE: 10.4622 | RAE: 6.4751 | Correlation: -0.7694000005722046
INFO:training:Epoch: 3 | Training Loss: 1343379.7703419812 | MAE: 2731863.553 | MSE: 4986798668816.108 | RMSE: 1222.3911 | RSE: 20.5245 | RAE: 8.0505 | Correlation: -0.7699000239372253
INFO:training:Epoch: 4 | Training Loss: 1179447.595518868 | MAE: 2754121.6227 | MSE: 5004621091864.599 | RMSE: 1222.7033 | RSE: 19.2936 | RAE: 8.067 | Correlation: -0.7660999894142151
INFO:training:Epoch: 5 | Training Loss: 1068293.2737323113 | MAE: 2444964.4847 | MSE: 4059118193545.5786 | RMSE: 1155.186 | RSE: 22.9583 | RAE: 9.8364 | Correlation: -0.7493000030517578
INFO:training:Epoch: 6 | Training Loss: 971671.9630011793 | MAE: 2343180.0398 | MSE: 3788338376784.109 | RMSE: 1131.7942 | RSE: 18.8426 | RAE: 7.2341 | Correlation: -0.732200026512146
INFO:training:Epoch: 7 | Training Loss: 853238.7386497641 | MAE: 2150600.4842 | MSE: 3469825671698.2856 | RMSE: 1088.8879 | RSE: 24.0155 | RAE: 7.7732 | Correlation: -0.6762999892234802
INFO:training:Epoch: 8 | Training Loss: 795833.687942217 | MAE: 2069780.7397 | MSE: 3268449650364.517 | RMSE: 1068.3632 | RSE: 21.4766 | RAE: 7.1506 | Correlation: -0.5238000154495239
INFO:training:Epoch: 9 | Training Loss: 768868.568543632 | MAE: 1963208.6896 | MSE: 2876288673954.5034 | RMSE: 1040.4497 | RSE: 38.3322 | RAE: 10.1151 | Correlation: 0.16580000519752502
INFO:training:Epoch: 10 | Training Loss: 667747.1704009434 | MAE: 2106977.2408 | MSE: 3249378932029.061 | RMSE: 1072.9817 | RSE: 26.7576 | RAE: 8.5224 | Correlation: 0.5622000098228455
INFO:training:Epoch: 11 | Training Loss: 702252.8907724057 | MAE: 1995220.2919 | MSE: 2899174197050.7754 | RMSE: 1047.2223 | RSE: 34.793 | RAE: 10.4508 | Correlation: 0.7426000237464905
INFO:training:Epoch: 12 | Training Loss: 619236.0546137972 | MAE: 2053787.5721 | MSE: 3089488529624.5986 | RMSE: 1058.8531 | RSE: 34.0203 | RAE: 9.8471 | Correlation: 0.7666000127792358
INFO:training:Epoch: 13 | Training Loss: 604649.508254717 | MAE: 1937867.1081 | MSE: 2857448085857.7417 | RMSE: 1031.8983 | RSE: 30.2122 | RAE: 8.736 | Correlation: 0.7773000001907349
INFO:training:Epoch: 14 | Training Loss: 576612.7080630896 | MAE: 1875780.1673 | MSE: 2692943351648.0 | RMSE: 1016.7801 | RSE: 34.6305 | RAE: 10.1955 | Correlation: 0.7882999777793884
INFO:training:Epoch: 15 | Training Loss: 598953.0370725236 | MAE: 1715507.0947 | MSE: 2546208178649.2515 | RMSE: 977.8715 | RSE: 27.1643 | RAE: 7.981 | Correlation: 0.7921000123023987
INFO:training:Epoch: 16 | Training Loss: 528008.8716833727 | MAE: 1827029.5124 | MSE: 2701007449570.7754 | RMSE: 1005.803 | RSE: 30.5308 | RAE: 8.706 | Correlation: 0.7911999821662903
INFO:training:Epoch: 17 | Training Loss: 528665.7757959906 | MAE: 1782928.7368 | MSE: 2655400726133.9863 | RMSE: 994.5706 | RSE: 31.344 | RAE: 8.6467 | Correlation: 0.7940000295639038
INFO:training:Epoch: 18 | Training Loss: 542325.1953125 | MAE: 1609313.4146 | MSE: 2411346472872.9253 | RMSE: 950.359 | RSE: 17.4812 | RAE: 5.6341 | Correlation: 0.7961000204086304
INFO:training:Epoch: 19 | Training Loss: 566162.3147847877 | MAE: 1679487.6029 | MSE: 2454770060928.8706 | RMSE: 968.7528 | RSE: 15.6858 | RAE: 6.4431 | Correlation: 0.7964000105857849
INFO:training:Epoch: 20 | Training Loss: 553123.490050118 | MAE: 1857552.8974 | MSE: 2680496851467.755 | RMSE: 1011.1373 | RSE: 30.2002 | RAE: 9.1015 | Correlation: 0.7960000038146973
INFO:training:Epoch: 21 | Training Loss: 524101.333099941 | MAE: 1688024.2181 | MSE: 2490875081561.415 | RMSE: 971.2512 | RSE: 23.7497 | RAE: 7.0209 | Correlation: 0.7973999977111816
INFO:training:Epoch: 22 | Training Loss: 514474.8439711085 | MAE: 2092122.7479 | MSE: 2946270198853.6597 | RMSE: 1062.9134 | RSE: 36.9433 | RAE: 11.2005 | Correlation: 0.7962999939918518
INFO:training:Epoch: 23 | Training Loss: 512306.60679540096 | MAE: 1744637.2315 | MSE: 2583493764541.823 | RMSE: 985.0228 | RSE: 24.0739 | RAE: 7.8338 | Correlation: 0.796500027179718
INFO:training:Epoch: 24 | Training Loss: 520049.75744398584 | MAE: 1655925.3982 | MSE: 2474221236553.143 | RMSE: 963.2715 | RSE: 21.0234 | RAE: 6.8418 | Correlation: 0.7976999878883362
INFO:training:Epoch: 25 | Training Loss: 541531.805129717 | MAE: 1728252.6588 | MSE: 2592911911956.0273 | RMSE: 981.659 | RSE: 28.2765 | RAE: 7.9268 | Correlation: 0.7975000143051147
INFO:training:Epoch: 26 | Training Loss: 507265.10443691036 | MAE: 1624947.8171 | MSE: 2500467159010.3945 | RMSE: 955.5264 | RSE: 21.9199 | RAE: 7.049 | Correlation: 0.7975999712944031
INFO:training:Epoch: 27 | Training Loss: 487959.0295548349 | MAE: 1838156.4102 | MSE: 2688518797197.061 | RMSE: 1006.3162 | RSE: 31.483 | RAE: 9.4693 | Correlation: 0.7972999811172485
INFO:training:Epoch: 28 | Training Loss: 501156.97545695753 | MAE: 1615209.4132 | MSE: 2413035229701.2246 | RMSE: 952.6749 | RSE: 21.2223 | RAE: 6.7877 | Correlation: 0.7985000014305115
INFO:training:Epoch: 29 | Training Loss: 494194.4975678066 | MAE: 1708549.2595 | MSE: 2526018569373.007 | RMSE: 976.3238 | RSE: 26.5188 | RAE: 7.4934 | Correlation: 0.7973999977111816
INFO:training:Epoch: 30 | Training Loss: 478478.2262676887 | MAE: 1694594.3158 | MSE: 2576891216506.5576 | RMSE: 974.1615 | RSE: 27.5715 | RAE: 7.8121 | Correlation: 0.7968999743461609
