INFO:training:Epoch: 1 | Training Loss: 5752474.7558962265 | MAE: 3754482.6101 | MSE: 7626177797572.789 | RMSE: 1403.5157 | RSE: 47.3473 | RAE: 25.1346 | Correlation: 0.7849000096321106
INFO:training:Epoch: 2 | Training Loss: 1805387.1957547169 | MAE: 2186487.3985 | MSE: 3475752705084.0815 | RMSE: 1092.29 | RSE: 20.0596 | RAE: 9.1774 | Correlation: 0.7919999957084656
INFO:training:Epoch: 3 | Training Loss: 1081158.4083136793 | MAE: 1728975.9394 | MSE: 2744735315097.7417 | RMSE: 983.6731 | RSE: 11.6084 | RAE: 5.9036 | Correlation: 0.7940999865531921
INFO:training:Epoch: 4 | Training Loss: 952558.8520784198 | MAE: 1519429.9142 | MSE: 2663255535673.034 | RMSE: 930.7794 | RSE: 10.9505 | RAE: 4.9785 | Correlation: 0.7940999865531921
INFO:training:Epoch: 5 | Training Loss: 827201.790389151 | MAE: 1552382.6076 | MSE: 2782202745324.626 | RMSE: 940.2308 | RSE: 11.3655 | RAE: 4.9503 | Correlation: 0.7932999730110168
INFO:training:Epoch: 6 | Training Loss: 876349.0691332547 | MAE: 1506636.8147 | MSE: 2650161629304.8164 | RMSE: 925.9975 | RSE: 12.7543 | RAE: 4.6178 | Correlation: 0.7939000129699707
INFO:training:Epoch: 7 | Training Loss: 822872.9719929246 | MAE: 1467605.8442 | MSE: 2590916802581.9863 | RMSE: 917.4808 | RSE: 11.7667 | RAE: 4.4854 | Correlation: 0.7940000295639038
INFO:training:Epoch: 8 | Training Loss: 786923.5262382076 | MAE: 1492307.6075 | MSE: 2623852442205.3877 | RMSE: 923.8786 | RSE: 13.8464 | RAE: 4.8187 | Correlation: 0.7939000129699707
INFO:training:Epoch: 9 | Training Loss: 791746.3581957547 | MAE: 1480470.4621 | MSE: 2714671667462.966 | RMSE: 921.6649 | RSE: 10.8909 | RAE: 4.9395 | Correlation: 0.7937999963760376
INFO:training:Epoch: 10 | Training Loss: 745087.0800412736 | MAE: 1470972.3094 | MSE: 2770345537185.306 | RMSE: 919.0187 | RSE: 10.1636 | RAE: 4.2532 | Correlation: 0.7935000061988831
INFO:training:Epoch: 11 | Training Loss: 756951.4464917453 | MAE: 1532289.1935 | MSE: 2586288980530.5034 | RMSE: 933.2481 | RSE: 18.2486 | RAE: 6.0529 | Correlation: 0.7943000197410583
INFO:training:Epoch: 12 | Training Loss: 756207.1337706367 | MAE: 1478453.5389 | MSE: 2590917204890.5576 | RMSE: 920.8737 | RSE: 16.1093 | RAE: 5.0859 | Correlation: 0.7944999933242798
INFO:training:Epoch: 13 | Training Loss: 734144.149764151 | MAE: 1516163.1415 | MSE: 2707802896128.0 | RMSE: 930.8729 | RSE: 12.4763 | RAE: 5.88 | Correlation: 0.7940999865531921
INFO:training:Epoch: 14 | Training Loss: 745257.484817217 | MAE: 1589609.34 | MSE: 2648564870875.4287 | RMSE: 947.4028 | RSE: 20.2162 | RAE: 7.576 | Correlation: 0.7944999933242798
INFO:training:Epoch: 15 | Training Loss: 731580.7385760613 | MAE: 1496615.5922 | MSE: 2768833690937.4014 | RMSE: 925.2023 | RSE: 12.1262 | RAE: 4.6331 | Correlation: 0.7939000129699707
INFO:training:Epoch: 16 | Training Loss: 686666.0987617924 | MAE: 1479056.1848 | MSE: 2721009995040.218 | RMSE: 919.9857 | RSE: 11.5758 | RAE: 4.6599 | Correlation: 0.7943000197410583
INFO:training:Epoch: 17 | Training Loss: 724641.068543632 | MAE: 1466427.3756 | MSE: 2570638197333.551 | RMSE: 917.2286 | RSE: 15.106 | RAE: 5.0491 | Correlation: 0.795199990272522
