INFO:training:Epoch: 1 | Training Loss: 0.33069819312497795 | MAE: 2.977 | MSE: 0.9937 | RMSE: 0.983 | RSE: 502.7598 | RAE: 199.1408 | Correlation: 0.9290000200271606
INFO:training:Epoch: 2 | Training Loss: 0.29896702077015336 | MAE: 2.6565 | MSE: 0.8078 | RMSE: 0.9303 | RSE: 449.6049 | RAE: 177.9934 | Correlation: 0.9283999800682068
INFO:training:Epoch: 3 | Training Loss: 0.2587576578898602 | MAE: 2.1926 | MSE: 0.5736 | RMSE: 0.848 | RSE: 371.2507 | RAE: 146.8165 | Correlation: 0.9239000082015991
INFO:training:Epoch: 4 | Training Loss: 0.1976223091045058 | MAE: 1.5789 | MSE: 0.331 | RMSE: 0.7246 | RSE: 262.9012 | RAE: 103.766 | Correlation: 0.919700026512146
INFO:training:Epoch: 5 | Training Loss: 0.1310889958617199 | MAE: 1.0304 | MSE: 0.1832 | RMSE: 0.5948 | RSE: 158.4906 | RAE: 62.36 | Correlation: 0.9138000011444092
INFO:training:Epoch: 6 | Training Loss: 0.06654749106929964 | MAE: 0.568 | MSE: 0.1195 | RMSE: 0.4565 | RSE: 49.2445 | RAE: 19.3719 | Correlation: 0.9059000015258789
INFO:training:Epoch: 7 | Training Loss: 0.027827083849045166 | MAE: 0.4695 | MSE: 0.12 | RMSE: 0.4225 | RSE: 6.5652 | RAE: 3.3948 | Correlation: 0.9028000235557556
INFO:training:Epoch: 8 | Training Loss: 0.025734248317508812 | MAE: 0.4696 | MSE: 0.1198 | RMSE: 0.4225 | RSE: 7.2697 | RAE: 3.6267 | Correlation: 0.9031000137329102
INFO:training:Epoch: 9 | Training Loss: 0.026077468262379427 | MAE: 0.4693 | MSE: 0.1198 | RMSE: 0.4224 | RSE: 7.0013 | RAE: 3.5372 | Correlation: 0.9032999873161316
INFO:training:Epoch: 10 | Training Loss: 0.026081051067056427 | MAE: 0.4685 | MSE: 0.1204 | RMSE: 0.4222 | RSE: 4.0651 | RAE: 2.5698 | Correlation: 0.9035999774932861
INFO:training:Epoch: 11 | Training Loss: 0.02517027804650456 | MAE: 0.4696 | MSE: 0.1195 | RMSE: 0.4224 | RSE: 8.4737 | RAE: 4.0252 | Correlation: 0.90420001745224
