INFO:training:Epoch: 1 | Training Loss: 0.020753825650070654 | MAE: 0.6248 | MSE: 0.1717 | RMSE: 0.4548 | RSE: 2.2946 | RAE: 1.6788 | Correlation: 0.9309999942779541
INFO:training:Epoch: 2 | Training Loss: 0.017822949425740676 | MAE: 0.6225 | MSE: 0.1725 | RMSE: 0.4544 | RSE: 1.7381 | RAE: 1.4604 | Correlation: 0.9312999844551086
INFO:training:Epoch: 3 | Training Loss: 0.017147446717276717 | MAE: 0.6164 | MSE: 0.1722 | RMSE: 0.453 | RSE: 1.4865 | RAE: 1.3121 | Correlation: 0.9314000010490417
INFO:training:Epoch: 4 | Training Loss: 0.01696909197352149 | MAE: 0.6146 | MSE: 0.172 | RMSE: 0.4527 | RSE: 2.0171 | RAE: 1.4814 | Correlation: 0.9315000176429749
INFO:training:Epoch: 5 | Training Loss: 0.01683435239575126 | MAE: 0.614 | MSE: 0.1719 | RMSE: 0.4526 | RSE: 2.2984 | RAE: 1.5596 | Correlation: 0.9315000176429749
INFO:training:Epoch: 6 | Training Loss: 0.016935152275995773 | MAE: 0.614 | MSE: 0.172 | RMSE: 0.4525 | RSE: 2.2696 | RAE: 1.5514 | Correlation: 0.9315000176429749
INFO:training:Epoch: 7 | Training Loss: 0.016643670666398425 | MAE: 0.6139 | MSE: 0.172 | RMSE: 0.4525 | RSE: 2.2724 | RAE: 1.5519 | Correlation: 0.9315000176429749
INFO:training:Epoch: 8 | Training Loss: 0.016564171756758835 | MAE: 0.6137 | MSE: 0.172 | RMSE: 0.4525 | RSE: 2.3959 | RAE: 1.5859 | Correlation: 0.9315000176429749
INFO:training:Epoch: 9 | Training Loss: 0.016990629949352958 | MAE: 0.6141 | MSE: 0.172 | RMSE: 0.4526 | RSE: 2.1371 | RAE: 1.5139 | Correlation: 0.9315000176429749
INFO:training:Epoch: 10 | Training Loss: 0.01681849411942742 | MAE: 0.6135 | MSE: 0.172 | RMSE: 0.4525 | RSE: 2.487 | RAE: 1.6108 | Correlation: 0.9315000176429749
INFO:training:Epoch: 11 | Training Loss: 0.01683208733571298 | MAE: 0.6137 | MSE: 0.172 | RMSE: 0.4525 | RSE: 2.2602 | RAE: 1.5473 | Correlation: 0.9315000176429749
INFO:training:Epoch: 12 | Training Loss: 0.01702558050553004 | MAE: 0.6135 | MSE: 0.172 | RMSE: 0.4525 | RSE: 2.3888 | RAE: 1.5825 | Correlation: 0.9315000176429749
INFO:training:Epoch: 13 | Training Loss: 0.016754937171936036 | MAE: 0.6132 | MSE: 0.172 | RMSE: 0.4524 | RSE: 2.5752 | RAE: 1.6341 | Correlation: 0.9315000176429749
INFO:training:Epoch: 14 | Training Loss: 0.016583312352498374 | MAE: 0.6131 | MSE: 0.172 | RMSE: 0.4524 | RSE: 2.601 | RAE: 1.6411 | Correlation: 0.9315000176429749
INFO:training:Epoch: 15 | Training Loss: 0.01695506618329973 | MAE: 0.6129 | MSE: 0.172 | RMSE: 0.4524 | RSE: 2.7062 | RAE: 1.6695 | Correlation: 0.9315000176429749
INFO:training:Epoch: 16 | Training Loss: 0.01681272720748728 | MAE: 0.613 | MSE: 0.172 | RMSE: 0.4524 | RSE: 2.5079 | RAE: 1.6139 | Correlation: 0.9315000176429749
INFO:training:Epoch: 17 | Training Loss: 0.016834018474275417 | MAE: 0.613 | MSE: 0.172 | RMSE: 0.4524 | RSE: 2.3716 | RAE: 1.5749 | Correlation: 0.9315000176429749
INFO:training:Epoch: 18 | Training Loss: 0.01683811768889427 | MAE: 0.613 | MSE: 0.1721 | RMSE: 0.4524 | RSE: 2.2742 | RAE: 1.5474 | Correlation: 0.9315000176429749
INFO:training:Epoch: 19 | Training Loss: 0.016864427824815113 | MAE: 0.6128 | MSE: 0.172 | RMSE: 0.4523 | RSE: 2.2585 | RAE: 1.5421 | Correlation: 0.9315000176429749
INFO:training:Epoch: 20 | Training Loss: 0.01692693029389237 | MAE: 0.6129 | MSE: 0.1721 | RMSE: 0.4523 | RSE: 2.1422 | RAE: 1.509 | Correlation: 0.9315000176429749
INFO:training:Epoch: 21 | Training Loss: 0.016843052596756905 | MAE: 0.6124 | MSE: 0.172 | RMSE: 0.4522 | RSE: 2.3314 | RAE: 1.5609 | Correlation: 0.9315999746322632
INFO:training:Epoch: 22 | Training Loss: 0.016805254853133 | MAE: 0.6123 | MSE: 0.1721 | RMSE: 0.4522 | RSE: 2.3346 | RAE: 1.5613 | Correlation: 0.9315999746322632
INFO:training:Epoch: 23 | Training Loss: 0.01675616948893576 | MAE: 0.6124 | MSE: 0.1721 | RMSE: 0.4522 | RSE: 2.2384 | RAE: 1.5344 | Correlation: 0.9315999746322632
INFO:training:Epoch: 24 | Training Loss: 0.016801399272499663 | MAE: 0.6126 | MSE: 0.1721 | RMSE: 0.4523 | RSE: 2.102 | RAE: 1.4963 | Correlation: 0.9315999746322632
INFO:training:Epoch: 25 | Training Loss: 0.016748491850766267 | MAE: 0.6123 | MSE: 0.1721 | RMSE: 0.4522 | RSE: 2.1906 | RAE: 1.5206 | Correlation: 0.9315999746322632
INFO:training:Epoch: 26 | Training Loss: 0.016888651378227003 | MAE: 0.6122 | MSE: 0.1721 | RMSE: 0.4522 | RSE: 2.2116 | RAE: 1.5261 | Correlation: 0.9315999746322632
INFO:training:Epoch: 27 | Training Loss: 0.016847329916376056 | MAE: 0.6116 | MSE: 0.1721 | RMSE: 0.4521 | RSE: 2.5848 | RAE: 1.6292 | Correlation: 0.9315999746322632
INFO:training:Epoch: 28 | Training Loss: 0.016546807352340584 | MAE: 0.6118 | MSE: 0.1721 | RMSE: 0.4521 | RSE: 2.3762 | RAE: 1.5709 | Correlation: 0.9315999746322632
INFO:training:Epoch: 29 | Training Loss: 0.016866460699926724 | MAE: 0.6118 | MSE: 0.1721 | RMSE: 0.4521 | RSE: 2.3146 | RAE: 1.5536 | Correlation: 0.9315999746322632
INFO:training:Epoch: 30 | Training Loss: 0.016762906285849484 | MAE: 0.6121 | MSE: 0.1722 | RMSE: 0.4522 | RSE: 2.112 | RAE: 1.4974 | Correlation: 0.9315999746322632
INFO:training:Epoch: 31 | Training Loss: 0.016733649215011887 | MAE: 0.612 | MSE: 0.1722 | RMSE: 0.4522 | RSE: 2.1068 | RAE: 1.4956 | Correlation: 0.9315999746322632
INFO:training:Epoch: 32 | Training Loss: 0.016531788580345385 | MAE: 0.6117 | MSE: 0.1722 | RMSE: 0.4521 | RSE: 2.2584 | RAE: 1.5373 | Correlation: 0.9315999746322632
INFO:training:Epoch: 33 | Training Loss: 0.016765959949204417 | MAE: 0.6113 | MSE: 0.1722 | RMSE: 0.452 | RSE: 2.4007 | RAE: 1.5763 | Correlation: 0.9315999746322632
INFO:training:Epoch: 34 | Training Loss: 0.016753797043453564 | MAE: 0.6112 | MSE: 0.1721 | RMSE: 0.452 | RSE: 2.4568 | RAE: 1.5916 | Correlation: 0.9315999746322632
INFO:training:Epoch: 35 | Training Loss: 0.016923944186983685 | MAE: 0.6116 | MSE: 0.1722 | RMSE: 0.4521 | RSE: 2.1399 | RAE: 1.5038 | Correlation: 0.9315999746322632
INFO:training:Epoch: 36 | Training Loss: 0.01667948749932376 | MAE: 0.6111 | MSE: 0.1722 | RMSE: 0.452 | RSE: 2.3907 | RAE: 1.5727 | Correlation: 0.9315999746322632
INFO:training:Epoch: 37 | Training Loss: 0.01654686452312903 | MAE: 0.6115 | MSE: 0.1722 | RMSE: 0.452 | RSE: 2.1543 | RAE: 1.5073 | Correlation: 0.9315999746322632
INFO:training:Epoch: 38 | Training Loss: 0.016710980033332653 | MAE: 0.6114 | MSE: 0.1722 | RMSE: 0.452 | RSE: 2.1513 | RAE: 1.5062 | Correlation: 0.9315000176429749
